event,time,magnitude,e_magnitude,upperlimit,band,system,instrument,telescope,source
GW170817,57743.334,20.44,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57790.358,21.39,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57791.323,21.34,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57792.326,21.26,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57793.335,21.10,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57794.324,20.58,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57795.325,20.33,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57796.256,19.90,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57797.247,20.16,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57798.192,19.85,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57801.225,20.37,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57803.328,20.83,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57817.386,20.78,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57818.284,20.91,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57819.272,20.90,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57822.095,19.97,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57840.217,20.86,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57841.220,21.03,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57842.166,20.74,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57843.213,20.83,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57845.204,20.90,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57847.195,20.73,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57848.200,20.87,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57849.357,20.63,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57850.199,20.24,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57851.195,19.74,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57852.179,19.56,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57856.361,19.45,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57857.178,18.41,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57858.166,20.07,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57864.154,21.01,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57865.142,20.93,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57866.260,21.02,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57867.152,21.04,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57869.131,20.67,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57870.126,20.92,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57871.122,20.65,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57872.194,20.66,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57873.118,20.71,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57874.115,20.60,,T,r,AB,,Prompt5,2017ApJ...848L..24V
GW170817,57876.165,20.76,,T,r,AB,,Prompt5,2017ApJ...848L..24V
