,SN,filter,jd,mag,abmag,error,survey
0,PS1-10ah,g_P1,55230.5,-19.5,22.38,-99.9,PS1
1,PS1-10ah,g_P1,55233.5,-16.7,22.6,-99.9,PS1
2,PS1-10ah,g_P1,55236.6,-13.8,22.4,-99.9,PS1
3,PS1-10ah,g_P1,55239.5,-11.1,22.75,-99.9,PS1
4,PS1-10ah,g_P1,55242.5,-8.3,22.7,-99.9,PS1
5,PS1-10ah,g_P1,55248.5,-2.7,22.18,0.22,PS1
6,PS1-10ah,g_P1,55251.4,0.0,19.95,0.05,PS1
7,PS1-10ah,g_P1,55266.5,14.1,21.64,0.17,PS1
8,PS1-10ah,g_P1,55281.3,27.8,22.02,-99.9,PS1
9,PS1-10ah,g_P1,55293.4,39.1,22.26,-99.9,PS1
10,PS1-10ah,g_P1,55305.3,50.2,22.58,-99.9,PS1
11,PS1-10ah,g_P1,55320.4,64.2,22.56,-99.9,PS1
12,PS1-10ah,g_P1,55326.3,69.7,22.82,-99.9,PS1
13,PS1-10ah,g_P1,55329.3,72.6,22.7,-99.9,PS1
14,PS1-10ah,g_P1,55332.3,75.3,22.73,-99.9,PS1
15,PS1-10ah,g_P1,55338.3,80.9,21.73,-99.9,PS1
16,PS1-10ah,g_P1,55350.3,92.0,22.74,-99.9,PS1
17,PS1-10ah,g_P1,55353.3,94.9,22.75,-99.9,PS1
18,PS1-10ah,r_P1,55230.5,-19.5,22.43,-99.9,PS1
19,PS1-10ah,r_P1,55233.5,-16.7,22.94,-99.9,PS1
20,PS1-10ah,r_P1,55236.6,-13.8,22.98,-99.9,PS1
21,PS1-10ah,r_P1,55239.5,-11.1,23.27,-99.9,PS1
22,PS1-10ah,r_P1,55242.5,-8.3,23.28,-99.9,PS1
23,PS1-10ah,r_P1,55248.5,-2.7,22.17,0.12,PS1
24,PS1-10ah,r_P1,55251.4,0.0,20.15,0.04,PS1
25,PS1-10ah,r_P1,55266.5,14.1,21.59,0.16,PS1
26,PS1-10ah,r_P1,55275.5,22.4,21.4,0.07,PS1
27,PS1-10ah,r_P1,55281.3,27.8,22.04,0.28,PS1
28,PS1-10ah,r_P1,55305.3,50.2,22.99,-99.9,PS1
29,PS1-10ah,r_P1,55320.4,64.2,22.91,-99.9,PS1
30,PS1-10ah,r_P1,55326.3,69.7,23.19,0.35,PS1
31,PS1-10ah,r_P1,55329.3,72.6,22.85,-99.9,PS1
32,PS1-10ah,r_P1,55350.3,92.1,23.04,-99.9,PS1
33,PS1-10ah,i_P1,55231.5,-18.6,22.91,-99.9,PS1
34,PS1-10ah,i_P1,55234.5,-15.7,23.18,-99.9,PS1
35,PS1-10ah,i_P1,55240.5,-10.2,23.07,-99.9,PS1
36,PS1-10ah,i_P1,55243.4,-7.5,23.06,-99.9,PS1
37,PS1-10ah,i_P1,55246.4,-4.6,23.08,-99.9,PS1
38,PS1-10ah,i_P1,55249.5,-1.8,20.56,0.05,PS1
39,PS1-10ah,i_P1,55252.5,1.0,20.66,0.05,PS1
40,PS1-10ah,i_P1,55264.5,12.2,21.58,0.12,PS1
41,PS1-10ah,i_P1,55288.4,34.5,21.87,0.16,PS1
42,PS1-10ah,i_P1,55330.3,73.4,22.65,0.27,PS1
43,PS1-10ah,i_P1,55339.3,81.8,21.94,-99.9,PS1
44,PS1-10ah,i_P1,55348.3,90.2,22.99,-99.9,PS1
45,PS1-10ah,z_P1,55235.6,-14.8,22.71,-99.9,PS1
46,PS1-10ah,z_P1,55238.5,-12.0,22.87,-99.9,PS1
47,PS1-10ah,z_P1,55241.4,-9.3,22.75,-99.9,PS1
48,PS1-10ah,z_P1,55250.6,-0.8,20.4,0.04,PS1
49,PS1-10ah,z_P1,55259.5,7.5,21.5,0.15,PS1
50,PS1-10ah,z_P1,55280.3,26.9,21.71,0.16,PS1
51,PS1-10ah,z_P1,55298.4,43.7,22.15,0.23,PS1
52,PS1-10ah,z_P1,55304.3,49.2,22.28,0.22,PS1
53,PS1-10ah,z_P1,55334.3,77.2,22.91,-99.9,PS1
54,PS1-10ah,z_P1,55352.3,93.9,22.88,-99.9,PS1
