,SN,filter,jd,mag,abmag,error,survey
146,PS1-11bbq,g_P1,55889.6,-3.6,23.99,-99.9,PS1
147,PS1-11bbq,g_P1,55892.5,-1.9,23.4,-99.9,PS1
148,PS1-11bbq,g_P1,55895.6,0.0,22.53,0.09,PS1
149,PS1-11bbq,g_P1,55911.6,9.7,23.1,-99.9,PS1
150,PS1-11bbq,g_P1,55947.4,31.5,23.87,-99.9,PS1
151,PS1-11bbq,g_P1,55952.6,34.6,24.09,-99.9,PS1
152,PS1-11bbq,g_P1,55955.3,36.3,23.57,-99.9,PS1
153,PS1-11bbq,r_P1,55888.5,-4.3,23.8,-99.9,PS1
154,PS1-11bbq,r_P1,55892.5,-1.9,22.98,0.17,PS1
155,PS1-11bbq,r_P1,55895.6,0.0,22.73,0.09,PS1
156,PS1-11bbq,r,55899.0,1.8,22.52,0.03,GMOS
157,PS1-11bbq,r_P1,55911.6,9.7,23.5,-99.9,PS1
158,PS1-11bbq,r_P1,55947.4,31.5,23.92,-99.9,PS1
159,PS1-11bbq,r_P1,55948.4,32.1,23.55,-99.9,PS1
160,PS1-11bbq,r_P1,55952.6,34.6,24.09,-99.9,PS1
161,PS1-11bbq,r_P1,55955.3,36.3,24.23,-99.9,PS1
162,PS1-11bbq,i_P1,55879.6,-9.7,23.89,-99.9,PS1
163,PS1-11bbq,i_P1,55885.6,-6.1,23.75,-99.9,PS1
164,PS1-11bbq,i_P1,55888.5,-4.3,23.83,-99.9,PS1
165,PS1-11bbq,i_P1,55893.6,-1.2,23.12,0.13,PS1
166,PS1-11bbq,i_P1,55900.6,3.0,22.64,0.1,PS1
167,PS1-11bbq,i_P1,55915.4,12.0,22.29,-99.9,PS1
168,PS1-11bbq,i_P1,55939.5,26.7,23.31,-99.9,PS1
169,PS1-11bbq,i_P1,55942.4,28.4,23.21,-99.9,PS1
170,PS1-11bbq,i_P1,55945.6,30.4,24.28,-99.9,PS1
171,PS1-11bbq,i_P1,55948.4,32.1,23.82,-99.9,PS1
172,PS1-11bbq,i_P1,55953.5,35.2,23.04,-99.9,PS1
173,PS1-11bbq,i_P1,55956.3,36.9,23.4,-99.9,PS1
174,PS1-11bbq,z_P1,55878.6,-10.4,23.33,-99.9,PS1
175,PS1-11bbq,z_P1,55883.6,-7.3,22.38,-99.9,PS1
176,PS1-11bbq,z_P1,55889.6,-3.6,23.79,-99.9,PS1
177,PS1-11bbq,z_P1,55891.5,-2.5,23.41,-99.9,PS1
178,PS1-11bbq,z_P1,55894.5,-0.6,23.26,0.16,PS1
179,PS1-11bbq,z_P1,55897.6,1.2,22.61,0.19,PS1
180,PS1-11bbq,z_P1,55901.6,3.7,23.01,0.2,PS1
181,PS1-11bbq,z_P1,55913.5,10.9,22.98,-99.9,PS1
182,PS1-11bbq,z_P1,55929.4,20.5,23.41,-99.9,PS1
183,PS1-11bbq,z_P1,55931.6,21.8,23.54,-99.9,PS1
184,PS1-11bbq,z_P1,55940.5,27.3,23.29,-99.9,PS1
185,PS1-11bbq,z_P1,55946.6,31.0,23.04,-99.9,PS1
186,PS1-11bbq,z_P1,55951.6,34.0,23.3,-99.9,PS1
187,PS1-11bbq,z_P1,55957.4,37.5,23.96,-99.9,PS1
