,SN,filter,jd,mag,abmag,error,survey
188,PS1-12bb,g_P1,55941.6,-5.4,23.65,-99.9,PS1
189,PS1-12bb,g_P1,55947.6,0.0,21.33,0.03,PS1
190,PS1-12bb,g_P1,55949.6,1.8,21.91,0.13,PS1
191,PS1-12bb,g_P1,55952.6,4.5,21.74,0.03,PS1
192,PS1-12bb,g_P1,55955.6,7.3,22.32,0.11,PS1
193,PS1-12bb,g_P1,55970.5,20.8,23.6,-99.9,PS1
194,PS1-12bb,g_P1,55973.5,23.6,24.02,-99.9,PS1
195,PS1-12bb,g_P1,55984.3,33.4,24.05,-99.9,PS1
196,PS1-12bb,g_P1,56000.5,48.1,23.83,-99.9,PS1
197,PS1-12bb,r_P1,55941.6,-5.4,23.8,-99.9,PS1
198,PS1-12bb,r_P1,55947.6,0.0,21.28,0.04,PS1
199,PS1-12bb,r_P1,55948.4,0.8,21.38,0.07,PS1
200,PS1-12bb,r_P1,55952.6,4.6,21.66,0.04,PS1
201,PS1-12bb,r_P1,55955.6,7.3,21.64,0.06,PS1
202,PS1-12bb,r_P1,55970.5,20.9,23.87,-99.9,PS1
203,PS1-12bb,r_P1,55973.5,23.6,24.2,-99.9,PS1
204,PS1-12bb,r_P1,55984.3,33.4,24.07,-99.9,PS1
205,PS1-12bb,r_P1,56000.5,48.1,23.77,-99.9,PS1
206,PS1-12bb,i_P1,55945.5,-1.8,21.12,0.02,PS1
207,PS1-12bb,i_P1,55948.5,0.9,21.26,0.04,PS1
208,PS1-12bb,i_P1,55956.4,8.0,21.55,0.05,PS1
209,PS1-12bb,i_P1,55960.5,11.8,21.94,0.06,PS1
210,PS1-12bb,i_P1,55971.6,21.8,23.3,0.23,PS1
211,PS1-12bb,i_P1,55977.5,27.2,23.38,0.23,PS1
212,PS1-12bb,i_P1,55985.4,34.3,24.26,0.32,PS1
213,PS1-12bb,i_P1,55979.5,29.0,23.51,-99.9,PS1
214,PS1-12bb,i_P1,55998.3,46.1,22.18,-99.9,PS1
215,PS1-12bb,i_P1,56001.5,49.0,23.62,-99.9,PS1
216,PS1-12bb,z_P1,55931.5,-14.6,23.84,-99.9,PS1
217,PS1-12bb,z_P1,55935.5,-11.0,23.23,-99.9,PS1
218,PS1-12bb,z_P1,55946.6,-0.9,21.25,0.04,PS1
219,PS1-12bb,z_P1,55949.6,1.8,21.58,0.1,PS1
220,PS1-12bb,z_P1,55954.6,6.4,21.86,0.07,PS1
221,PS1-12bb,z_P1,55961.3,12.5,22.85,0.23,PS1
222,PS1-12bb,z_P1,55959.5,10.9,22.8,-99.9,PS1
223,PS1-12bb,z_P1,55969.5,19.9,23.8,-99.9,PS1
224,PS1-12bb,z_P1,55972.6,22.7,23.7,-99.9,PS1
225,PS1-12bb,z_P1,55983.3,32.5,22.99,-99.9,PS1
226,PS1-12bb,z_P1,55997.4,45.3,23.53,-99.9,PS1
227,PS1-12bb,z_P1,55999.3,47.0,22.99,-99.9,PS1
