time-rel	g	r	i
0.0	15.9268	15.9081	15.9615
0.5	15.92773324829932	15.908530484693877	15.962198341836734
1.0	15.92866649659864	15.908960969387755	15.962896683673469
1.5	15.92959974489796	15.909391454081632	15.963595025510203
2.0	15.930532993197279	15.90982193877551	15.964293367346938
2.5	15.931466241496599	15.910252423469387	15.964991709183673
3.0	15.932399489795918	15.910682908163265	15.965690051020408
3.5	15.933332738095238	15.911113392857143	15.966388392857143
4.0	15.934265986394557	15.91154387755102	15.967086734693877
4.5	15.935199234693878	15.911974362244898	15.967785076530612
5.0	15.936132482993198	15.912404846938776	15.968483418367347
5.5	15.937065731292517	15.912835331632653	15.96918176020408
6.0	15.937998979591837	15.91326581632653	15.969880102040815
6.5	15.938932227891156	15.913696301020407	15.97057844387755
7.0	15.939865476190477	15.914126785714284	15.971276785714284
7.5	15.940798724489795	15.914557270408162	15.97197512755102
8.0	15.941731972789116	15.91498775510204	15.972673469387754
8.5	15.942665221088435	15.915418239795917	15.973371811224489
9.0	15.943598469387755	15.915848724489795	15.974070153061223
9.5	15.944531717687076	15.916279209183672	15.974768494897958
10.0	15.945464965986394	15.91670969387755	15.975466836734693
10.5	15.946398214285715	15.917140178571428	15.976165178571428
11.0	15.947331462585034	15.917570663265305	15.976863520408163
11.5	15.948264710884354	15.918001147959183	15.977561862244897
12.0	15.949197959183673	15.91843163265306	15.978260204081632
12.5	15.950131207482993	15.918862117346938	15.978958545918367
13.0	15.951064455782314	15.919292602040816	15.979656887755102
13.5	15.951997704081633	15.919723086734693	15.980355229591837
14.0	15.952930952380953	15.920153571428571	15.981053571428571
14.5	15.953864200680272	15.920584056122449	15.981751913265306
15.0	15.954797448979592	15.921014540816326	15.98245025510204
15.5	15.955730697278911	15.921445025510204	15.983148596938774
16.0	15.956663945578232	15.921875510204082	15.983846938775509
16.5	15.95759719387755	15.92230599489796	15.984545280612243
17.0	15.95853044217687	15.922736479591837	15.985243622448978
17.5	15.959463690476191	15.923166964285715	15.985941964285713
18.0	15.96039693877551	15.923597448979592	15.986640306122448
18.5	15.96133018707483	15.92402793367347	15.987338647959183
19.0	15.96226343537415	15.924458418367346	15.988036989795917
19.5	15.96319668367347	15.924888903061223	15.988735331632652
20.0	15.964129931972789	15.925319387755101	15.989433673469387
20.5	15.965063180272109	15.925749872448979	15.990132015306122
21.0	15.965996428571428	15.926180357142856	15.990830357142856
21.5	15.966929676870748	15.926610841836734	15.991528698979591
22.0	15.967862925170069	15.927041326530611	15.992227040816326
22.5	15.968796173469388	15.927471811224489	15.99292538265306
23.0	15.969729421768708	15.927902295918367	15.993623724489796
23.5	15.970662670068027	15.928332780612244	15.99432206632653
24.0	15.971595918367347	15.928763265306122	15.995020408163265
24.5	15.972529166666666	15.92919375	15.99571875
25.0	15.973462414965987	15.929624234693877	15.996417091836735
25.5	15.974395663265305	15.930054719387755	15.997115433673468
26.0	15.975328911564626	15.930485204081632	15.997813775510203
26.5	15.976262159863946	15.93091568877551	15.998512117346937
27.0	15.977195408163265	15.931346173469388	15.999210459183672
27.5	15.978128656462586	15.931776658163265	15.999908801020407
28.0	15.979061904761904	15.932207142857143	16.00060714285714
28.5	15.979995153061225	15.93263762755102	16.001305484693876
29.0	15.980928401360543	15.933068112244898	16.00200382653061
29.5	15.981861649659864	15.933498596938776	16.002702168367346
30.0	15.982794897959183	15.933929081632654	16.00340051020408
30.5	15.983728146258503	15.934359566326531	16.004098852040816
31.0	15.984661394557824	15.934790051020409	16.00479719387755
31.5	15.985594642857142	15.935220535714285	16.005495535714285
32.0	15.986527891156463	15.935651020408162	16.00619387755102
32.5	15.987461139455782	15.93608150510204	16.006892219387755
33.0	15.988394387755102	15.936511989795918	16.00759056122449
33.5	15.989327636054421	15.936942474489795	16.008288903061224
34.0	15.990260884353741	15.937372959183673	16.00898724489796
34.5	15.991194132653062	15.93780344387755	16.009685586734694
35.0	15.99212738095238	15.938233928571428	16.01038392857143
35.5	15.993060629251701	15.938664413265306	16.011082270408163
36.0	15.99399387755102	15.939094897959183	16.0117806122449
36.5	15.99492712585034	15.939525382653061	16.012478954081633
37.0	15.99586037414966	15.939955867346939	16.013177295918368
37.5	15.99679362244898	15.940386352040816	16.013875637755103
38.0	15.997726870748298	15.940816836734694	16.014573979591837
38.5	15.998660119047619	15.941247321428571	16.015272321428572
39.0	15.99959336734694	15.94167780612245	16.015970663265307
39.5	16.000526615646258	15.942108290816327	16.01666900510204
40.0	16.001459863945577	15.942538775510204	16.017367346938777
40.5	16.0023931122449	15.942969260204082	16.018065688775508
41.0	16.003326360544218	15.94339974489796	16.018764030612243
