time-rel	g	r	i
0.0	16.3724	16.1395	16.2173
0.5	16.37276733238231	16.13936774845459	16.217015584878745
1.0	16.37313466476462	16.13923549690918	16.21673116975749
1.5	16.37350199714693	16.139103245363767	16.216446754636234
2.0	16.373869329529242	16.138970993818358	16.21616233951498
2.5	16.374236661911553	16.138838742272945	16.215877924393723
3.0	16.374603994293864	16.138706490727532	16.21559350927247
3.5	16.374971326676174	16.138574239182123	16.215309094151213
4.0	16.37533865905849	16.13844198763671	16.21502467902996
4.5	16.3757059914408	16.1383097360913	16.214740263908702
5.0	16.37607332382311	16.13817748454589	16.21445584878745
5.5	16.37644065620542	16.138045233000476	16.21417143366619
6.0	16.376807988587732	16.137912981455067	16.213887018544938
6.5	16.377175320970043	16.137780729909654	16.21360260342368
7.0	16.377542653352354	16.137648478364245	16.213318188302427
7.5	16.377909985734664	16.137516226818832	16.21303377318117
8.0	16.378277318116975	16.13738397527342	16.212749358059916
8.5	16.378644650499286	16.13725172372801	16.21246494293866
9.0	16.379011982881597	16.137119472182597	16.212180527817406
9.5	16.379379315263908	16.136987220637188	16.21189611269615
10.0	16.37974664764622	16.136854969091775	16.211611697574895
10.5	16.38011398002853	16.136722717546363	16.211327282453638
11.0	16.38048131241084	16.136590466000953	16.211042867332385
11.5	16.38084864479315	16.13645821445554	16.210758452211127
12.0	16.381215977175465	16.136325962910128	16.210474037089874
12.5	16.381583309557776	16.13619371136472	16.210189621968617
13.0	16.381950641940087	16.136061459819306	16.209905206847363
13.5	16.382317974322397	16.135929208273897	16.209620791726106
14.0	16.38268530670471	16.135796956728484	16.209336376604853
14.5	16.38305263908702	16.13566470518307	16.209051961483596
15.0	16.38341997146933	16.135532453637662	16.208767546362342
15.5	16.38378730385164	16.13540020209225	16.208483131241085
16.0	16.38415463623395	16.13526795054684	16.208198716119828
16.5	16.384521968616262	16.135135699001427	16.207914300998574
17.0	16.384889300998573	16.135003447456015	16.207629885877317
17.5	16.385256633380884	16.134871195910605	16.207345470756064
18.0	16.385623965763195	16.134738944365193	16.207061055634806
18.5	16.385991298145505	16.134606692819784	16.206776640513553
19.0	16.386358630527816	16.13447444127437	16.206492225392296
19.5	16.386725962910127	16.134342189728958	16.206207810271042
20.0	16.38709329529244	16.13420993818355	16.205923395149785
20.5	16.387460627674752	16.134077686638136	16.20563898002853
21.0	16.387827960057063	16.133945435092727	16.205354564907275
21.5	16.388195292439374	16.133813183547314	16.20507014978602
22.0	16.388562624821684	16.1336809320019	16.204785734664764
22.5	16.388929957203995	16.133548680456492	16.20450131954351
