time-rel              g              r              i              z
  73.964  13.6452871794  14.0511346497  14.3938574909  14.6541820672
  74.464  13.6546189349  14.0603105849  14.4029396189  14.6632080188
  74.964  13.6639506904    14.06948652   14.412021747  14.6722339705
  75.464  13.6732824458  14.0786624551   14.421103875  14.6812599221
  75.964  13.6826142013  14.0878383902   14.430186003  14.6902858738
  76.464  13.6919459568  14.0970143254   14.439268131  14.6993118254
  76.964  13.7012777123  14.1061902605  14.4483502591   14.708337777
  77.464  13.7106094677  14.1153661956  14.4574323871  14.7173637287
  77.964  13.7199412232  14.1245421308  14.4665145151  14.7263896803
  78.464  13.7292729787  14.1337180659  14.4755966432  14.7354156319
  78.964  13.7386047342   14.142894001  14.4846787712  14.7444415836
  79.464  13.7479364896  14.1520699361  14.4937608992  14.7534675352
  79.964  13.7572682451  14.1612458713  14.5028430272  14.7624934868
  80.464  13.7666000006  14.1704218064  14.5119251553  14.7715194385
  80.964  13.7759317561  14.1795977415  14.5210072833  14.7805453901
  81.464  13.7852635115  14.1887736766  14.5300894113  14.7895713417
  81.964   13.794595267  14.1979496118  14.5391715393  14.7985972934
  82.464  13.8039270225  14.2071255469  14.5482536674   14.807623245
  82.964   13.813258778   14.216301482  14.5573357954  14.8166491966
  83.464  13.8225905334  14.2254774171  14.5664179234  14.8256751483
  83.964  13.8319222889  14.2346533523  14.5755000515  14.8347010999
  84.464  13.8412540444  14.2438292874  14.5845821795  14.8437270515
  84.964  13.8505857999  14.2530052225  14.5936643075  14.8527530032
  85.464  13.8599175553  14.2621811576  14.6027464355  14.8617789548
  85.964  13.8692493108  14.2713570928  14.6118285636  14.8708049064
  86.464  13.8785810663  14.2805330279  14.6209106916  14.8798308581
  86.964  13.8879128218   14.289708963  14.6299928196  14.8888568097
  87.464  13.8972445772  14.2988848981  14.6390749477  14.8978827613
  87.964  13.9065763327  14.3080608333  14.6481570757   14.906908713
  88.464  13.9159080882  14.3172367684  14.6572392037  14.9159346646
  88.964  13.9252398436  14.3264127035  14.6663213317  14.9249606162
  89.464  13.9345715991  14.3355886386  14.6754034598  14.9339865679
  89.964  13.9441834494  14.3450986767  14.6848522149  14.9433986327
  90.464  13.9539176398  14.3547546447  14.6944611061  14.9529793447
  90.964  13.9636518303  14.3644106127  14.7040699972  14.9625600568
  91.464  13.9733860208  14.3740665807  14.7136788883  14.9721407688
  91.964  13.9831202112  14.3837225487  14.7232877795  14.9817214808
  92.464  13.9928544017  14.3933785167  14.7328966706  14.9913021928
  92.964  14.0025885922  14.4030344847  14.7425055617  15.0008829048
  93.464  14.0123227826  14.4126904527  14.7521144529  15.0104636168
  93.964  14.0220569731  14.4223464207   14.761723344  15.0200443288
  94.464  14.0317911636  14.4320023887  14.7713322351  15.0296250408
  94.964   14.041525354  14.4416583567  14.7809411263  15.0392057529
  95.464  14.0512595445  14.4513143247  14.7905500174  15.0487864649
  95.964   14.060993735  14.4609702927  14.8001589086  15.0583671769
  96.464  14.0707279255  14.4706262607  14.8097677997  15.0679478889
  96.964  14.0804621159  14.4802822287  14.8193766908  15.0775286009
  97.464  14.0901963064  14.4899381967   14.828985582  15.0871093129
  97.964  14.0999304969  14.4995941647  14.8385944731  15.0966900249
  98.464  14.1096646873  14.5092501327  14.8482033642  15.1062707369
  98.964  14.1193988778  14.5189061007  14.8578122554  15.1158514489
  99.464  14.1291330683  14.5285620687  14.8674211465   15.125432161
  99.964  14.1388672587  14.5382180367  14.8770300376   15.135012873
 100.464  14.1486014492  14.5478740047  14.8866389288   15.144593585
 100.964  14.1583356397  14.5575299727  14.8962478199   15.154174297
 101.464  14.1680698301  14.5671859407  14.9058567111   15.163755009
 101.964  14.1778040206  14.5768419087  14.9154656022   15.173335721
 102.464  14.1875382111  14.5864978767  14.9250744933   15.182916433
 102.964  14.1972724016  14.5961538447  14.9346833845   15.192497145
 103.464   14.207006592  14.6058098127  14.9442922756  15.2020778571
 103.964  14.2167407825  14.6154657807  14.9539011667  15.2116585691
 104.464   14.226474973  14.6251217487  14.9635100579  15.2212392811
 104.964  14.2362091634  14.6347777167   14.973118949  15.2308199931
 105.464  14.2459433539  14.6444336847  14.9827278402  15.2404007051
 105.964  14.2556775444  14.6540896527  14.9923367313  15.2499814171
 106.464  14.2654117348  14.6637456207  15.0019456224  15.2595621291
 106.964  14.2751459253  14.6734015887  15.0115545136  15.2691428411
 107.464  14.2845891872  14.6827512512  15.0208478593  15.2784024807
 107.964  14.2930245892  14.6910397837  15.0290480655  15.2865498333
 108.464  14.3014599913  14.6993283162  15.0372482716  15.2946971859
 108.964  14.3098953934  14.7076168487  15.0454484778  15.3028445386
 109.464  14.3183307954  14.7159053812   15.053648684  15.3109918912
 109.964  14.3267661975  14.7241939137  15.0618488902  15.3191392439
 110.464  14.3352015995  14.7324824462  15.0700490964  15.3272865965
 110.964  14.3436370016  14.7407709787  15.0782493026  15.3354339492
 111.464  14.3520724037  14.7490595112  15.0864495088  15.3435813018
 111.964  14.3605078057  14.7573480437   15.094649715  15.3517286544
 112.464  14.3689432078  14.7656365762  15.1028499212  15.3598760071
 112.964  14.3773786099  14.7739251087  15.1110501273  15.3680233597
 113.464  14.3858140119  14.7822136412  15.1192503335  15.3761707124
 113.964   14.394249414  14.7905021737  15.1274505397   15.384318065
 114.464   14.402684816  14.7987907062  15.1356507459  15.3924654177
 114.964  14.4111202181  14.8070792387  15.1438509521  15.4006127703
 115.464  14.4195556202  14.8153677712  15.1520511583   15.408760123
 115.964  14.4279910222  14.8236563037  15.1602513645  15.4169074756
 116.464  14.4364264243  14.8319448362  15.1684515707  15.4250548282
 116.964  14.4448618264  14.8402333687  15.1766517769  15.4332021809
 117.464  14.4532972284  14.8485219012  15.1848519831  15.4413495335
 117.964  14.4617326305  14.8568104337  15.1930521892  15.4494968862
 118.464  14.4701680325  14.8650989662  15.2012523954  15.4576442388
 118.964  14.4786034346  14.8733874987  15.2094526016  15.4657915915
 119.464  14.4870388367  14.8816760312  15.2176528078  15.4739389441
 119.964  14.4954742387  14.8899645637   15.225853014  15.4820862968
 120.464  14.5039096408  14.8982530962  15.2340532202  15.4902336494
 120.964  14.5123450429  14.9065416287  15.2422534264   15.498381002
 121.464  14.5207804449  14.9148301612  15.2504536326  15.5065283547
 121.964   14.529215847  14.9231186937  15.2586538388  15.5146757073
 122.464   14.537651249  14.9314072262  15.2668540449    15.52282306
 122.964  14.5460866511  14.9396957587  15.2750542511  15.5309704126
 123.464  14.5545220532  14.9479842912  15.2832544573  15.5391177653
 123.964  14.5629574552  14.9562728237  15.2914546635  15.5472651179
 124.464  14.5713928573  14.9645613562  15.2996548697  15.5554124705
 124.964  14.5798282594  14.9728498887  15.3078550759  15.5635598232
 125.464  14.5882636614  14.9811384213  15.3160552821  15.5717071758
 125.964  14.5966990635  14.9894269538  15.3242554883  15.5798545285
 126.464  14.6051344655  14.9977154863  15.3324556945  15.5880018811
 126.964  14.6135698676  15.0060040188  15.3406559006  15.5961492338
 127.464  14.6220052697  15.0142925513  15.3488561068  15.6042965864
 127.964  14.6304406717  15.0225810838   15.357056313  15.6124439391
 128.464  14.6370659534  15.0289454045  15.3632639144  15.6185579052
 128.964  14.6427420255  15.0343006873  15.3684266132  15.6236055834
 129.464  14.6484180977  15.0396559702   15.373589312  15.6286532615
 129.964  14.6540941698   15.045011253  15.3787520108  15.6337009397
 130.464   14.659770242  15.0503665359  15.3839147096  15.6387486178
 130.964  14.6654463141  15.0557218187  15.3890774084   15.643796296
 131.464  14.6711223863  15.0610771016  15.3942401072  15.6488439741
 131.964  14.6767984585  15.0664323844   15.399402806  15.6538916523
 132.464  14.6824745306  15.0717876673  15.4045655048  15.6589393304
 132.964  14.6881506028  15.0771429501  15.4097282036  15.6639870086
 133.464  14.6938266749   15.082498233  15.4148909024  15.6690346867
 133.964  14.6995027471  15.0878535158  15.4200536012  15.6740823649
 134.464  14.7051788192  15.0932087987     15.4252163   15.679130043
 134.964  14.7108548914  15.0985640815  15.4303789988  15.6841777212
 135.464  14.7165309635  15.1039193644  15.4355416976  15.6892253993
 135.964  14.7222070357  15.1092746472  15.4407043964  15.6942730774
 136.464  14.7278831078  15.1146299301  15.4458670952  15.6993207556
 136.964    14.73355918  15.1199852129   15.451029794  15.7043684337
 137.464  14.7392352521  15.1253404958  15.4561924928  15.7094161119
 137.964  14.7449113243  15.1306957786  15.4613551916    15.71446379
 138.464  14.7505873964  15.1360510615  15.4665178904  15.7195114682
 138.964  14.7562634686  15.1414063443  15.4716805892  15.7245591463
 139.464  14.7619395408  15.1467616272  15.4768432881  15.7296068245
 139.964  14.7676156129    15.15211691  15.4820059869  15.7346545026
 140.464  14.7732916851  15.1574721929  15.4871686857  15.7397021808
 140.964  14.7789677572  15.1628274757  15.4923313845  15.7447498589
 141.464  14.7846438294  15.1681827586  15.4974940833  15.7497975371
 141.964  14.7903199015  15.1735380414  15.5026567821  15.7548452152
 142.464  14.7959959737  15.1788933242  15.5078194809  15.7598928934
 142.964  14.8016720458  15.1842486071  15.5129821797  15.7649405715
 143.464   14.807348118  15.1896038899  15.5181448785  15.7699882497
 143.964  14.8130241901  15.1949591728  15.5233075773  15.7750359278
 144.464  14.8187002623  15.2003144556  15.5284702761   15.780083606
 144.964  14.8243763344  15.2056697385  15.5336329749  15.7851312841
 145.464  14.8300524066  15.2110250213  15.5387956737  15.7901789623
 145.964  14.8357284787  15.2163803042  15.5439583725  15.7952266404
 146.464  14.8414045509   15.221735587  15.5491210713  15.8002743186
 146.964  14.8470806231  15.2270908699  15.5542837701  15.8053219967
 147.464  14.8527566952  15.2324461527  15.5594464689  15.8103696749
 147.964  14.8584327674  15.2378014356  15.5646091677   15.815417353
 148.464  14.8641088395  15.2431567184  15.5697718665  15.8204650312
 148.964  14.8697849117  15.2485120013  15.5749345653  15.8255127093
 149.464  14.8754609838  15.2538672841  15.5800972641  15.8305603874
 149.964   14.881137056   15.259222567  15.5852599629  15.8356080656
 150.464  14.8868131281  15.2645778498  15.5904226617  15.8406557437
 150.964  14.8924892003  15.2699331327  15.5955853605  15.8457034219
 151.464  14.8981652724  15.2752884155  15.6007480593     15.8507511
 151.964  14.9038413446  15.2806436984  15.6059107581  15.8557987782
 152.464  14.9095174167  15.2859989812   15.611073457  15.8608464563
 152.964  14.9151934889  15.2913542641  15.6162361558  15.8658941345
 153.464   14.920869561  15.2967095469  15.6213988546  15.8709418126
 153.964  14.9265456332  15.3020648298  15.6265615534  15.8759894908
 154.464  14.9322217054  15.3074201126  15.6317242522  15.8810371689
 154.964  14.9378977775  15.3127753955   15.636886951  15.8860848471
 155.464  14.9435738497  15.3181306783  15.6420496498  15.8911325252
 155.964  14.9492499218  15.3234859612  15.6472123486  15.8961802034
 156.464   14.954925994   15.328841244  15.6523750474  15.9012278815
 156.964  14.9606020661  15.3341965269  15.6575377462  15.9062755597
 157.464  14.9662781383  15.3395518097   15.662700445  15.9113232378
 157.964  14.9719542104  15.3449070925  15.6678631438   15.916370916
 158.464  14.9776302826  15.3502623754  15.6730258426  15.9214185941
 158.964  14.9833063547  15.3556176582  15.6781885414  15.9264662723
 159.464  14.9889824269  15.3609729411  15.6833512402  15.9315139504
 159.964   14.994658499  15.3663282239   15.688513939  15.9365616286
 160.464  15.0003345712  15.3716835068  15.6936766378  15.9416093067
 160.964  15.0060106433  15.3770387896  15.6988393366  15.9466569849
 161.464  15.0116867155  15.3823940725  15.7040020354   15.951704663
 161.964  15.0173627877  15.3877493553  15.7091647342  15.9567523411
 162.464  15.0230388598  15.3931046382   15.714327433  15.9618000193
 162.964   15.028714932   15.398459921  15.7194901318  15.9668476974
