time-rel               g               i
     2.9  -14.0468729373  -13.6352079208
     3.4  -14.2137458746  -13.8394158416
     3.9  -14.3806188119  -14.0436237624
     4.4  -14.5474917492  -14.2478316832
     4.9       -14.70135  -14.4377833333
     5.4        -14.7826        -14.5482
     5.9       -14.86385  -14.6586166667
     6.4        -14.9451  -14.7690333333
     6.9       -15.02635       -14.87945
     7.4  -15.0942533333  -14.9753466667
     7.9  -15.1375866667  -15.0445133333
     8.4       -15.18092       -15.11368
     8.9  -15.2242533333  -15.1828466667
     9.4  -15.2675866667  -15.2520133333
     9.9  -15.3008910891  -15.3097574257
    10.4  -15.3260561056  -15.3582310231
    10.9  -15.3512211221  -15.4067046205
    11.4  -15.3763861386  -15.4551782178
    11.9  -15.4015511551  -15.5036518152
    12.4  -15.4179466667       -15.54264
    12.9      -15.430655       -15.57764
    13.4  -15.4433633333       -15.61264
    13.9  -15.4560716667       -15.64764
    14.4       -15.46878       -15.68264
    14.9  -15.4720716667      -15.708035
    15.4  -15.4743633333       -15.73241
    15.9      -15.476655      -15.756785
    16.4  -15.4789466667       -15.78116
    16.9  -15.4803993399  -15.8046732673
    17.4  -15.4746237624  -15.8207623762
    17.9  -15.4688481848  -15.8368514851
    18.4  -15.4630726073  -15.8529405941
    18.9  -15.4572970297   -15.869029703
    19.4  -15.4495333333  -15.8833466667
    19.9  -15.4359916667  -15.8925133333
    20.4       -15.42245       -15.90168
    20.9  -15.4089083333  -15.9108466667
    21.4  -15.3953666667  -15.9200133333
    21.9       -15.37907       -15.92671
    22.4  -15.3594866667       -15.93046
    22.9  -15.3399033333       -15.93421
    23.4       -15.32032       -15.93796
    23.9  -15.3007366667       -15.94171
    24.4   -15.276950495  -15.9416468647
    24.9   -15.250960396  -15.9395841584
    25.4   -15.224970297  -15.9375214521
    25.9   -15.198980198  -15.9354587459
    26.4   -15.172990099  -15.9333960396
    26.9  -15.1425816667  -15.9277816667
    27.4  -15.1111233333  -15.9213233333
    27.9      -15.079665      -15.914865
    28.4  -15.0482066667  -15.9084066667
    28.9      -15.016705       -15.90191
    29.4       -14.97983       -15.89066
    29.9      -14.942955       -15.87941
    30.4       -14.90608       -15.86816
    30.9      -14.869205       -15.85691
    31.4  -14.8316336634  -15.8449966997
    31.9  -14.7914108911  -15.8305577558
    32.4  -14.7511881188  -15.8161188119
    32.9  -14.7109653465   -15.801679868
    33.4  -14.6707425743  -15.7872409241
    33.9      -14.628875      -15.771475
    34.4  -14.5840833333       -15.75335
    34.9  -14.5392916667      -15.735225
    35.4        -14.4945        -15.7171
    35.9  -14.4497083333      -15.698975
    36.4        -14.4034  -15.6789833333
    36.9        -14.3559      -15.657525
    37.4        -14.3084  -15.6360666667
    37.9        -14.2609  -15.6146083333
    38.4        -14.2134       -15.59315
    38.9  -14.1653168317  -15.5701287129
    39.4   -14.117049505  -15.5466138614
    39.9  -14.0687821782  -15.5230990099
    40.4  -14.0205148515  -15.4995841584
    40.9  -13.9722475248  -15.4760693069
    41.4       -13.92316       -15.45044
    41.9  -13.8739933333  -15.4246066667
    42.4  -13.8248266667  -15.3987733333
    42.9       -13.77566       -15.37294
    43.4       -13.72675  -15.3470133333
    43.9      -13.679875  -15.3203466667
    44.4         -13.633       -15.29368
    44.9      -13.586125  -15.2670133333
    45.4       -13.53925  -15.2403466667
    45.9  -13.4936138614  -15.2136980198
    46.4   -13.450709571  -15.1870891089
