time-rel              g              i
   -95.5  23.4353225417  24.1772035667
   -95.0  23.4068000833  24.1483448533
   -94.5   23.378277625    24.11948614
   -94.0  23.3497551667  24.0906274267
   -93.5  23.3212327083  24.0617687133
   -93.0    23.29271025       24.03291
   -92.5  23.2641877917  24.0040512867
   -92.0  23.2356653333  23.9751925733
   -91.5   23.207142875    23.94633386
   -91.0  23.1786204167  23.9174751467
   -90.5  23.1500979583  23.8886164333
   -90.0     23.1215755    23.85975772
   -89.5  23.0930530417  23.8308990067
   -89.0  23.0645305833  23.8020402933
   -88.5   23.036008125    23.77318158
   -88.0  23.0074856667  23.7443228667
   -87.5  22.9789632083  23.7154641533
   -87.0    22.95044075    23.68660544
   -86.5  22.9219182917  23.6577467267
   -86.0  22.8933958333  23.6288880133
   -85.5   22.864873375     23.6000293
   -85.0  22.8363509167  23.5711705867
   -84.5  22.8078284583  23.5423118733
   -84.0      22.779306    23.51345316
   -83.5      22.761949  23.4957344271
   -83.0      22.744592  23.4780156942
   -82.5      22.727235  23.4602969612
   -82.0      22.709878  23.4425782283
   -81.5      22.692521  23.4248594954
   -81.0      22.675164  23.4071407625
   -80.5      22.657807  23.3894220296
   -80.0       22.64045  23.3717032967
   -79.5      22.623093  23.3539845638
   -79.0      22.605736  23.3362658308
   -78.5      22.588379  23.3185470979
   -78.0      22.571022   23.300828365
   -77.5      22.553665  23.2831096321
   -77.0      22.536308  23.2653908992
   -76.5      22.518951  23.2476721662
   -76.0      22.501594  23.2299534333
   -75.5      22.484237  23.2122347004
   -75.0       22.46688  23.1945159675
   -74.5      22.449523  23.1767972346
   -74.0      22.432166  23.1590785017
   -73.5      22.414809  23.1413597688
   -73.0      22.397452  23.1236410358
   -72.5      22.380095  23.1059223029
   -72.0      22.362738    23.08820357
   -71.5  22.3355884583  23.0606638525
   -71.0  22.3084389167   23.033124135
   -70.5   22.281289375  23.0055844175
   -70.0  22.2541398333     22.9780447
   -69.5  22.2269902917  22.9505049825
   -69.0    22.19984075   22.922965265
   -68.5  22.1726912083  22.8954255475
   -68.0  22.1455416667    22.86788583
   -67.5   22.118392125  22.8403461125
   -67.0  22.0912425833   22.812806395
   -66.5  22.0640930417  22.7852666775
   -66.0     22.0369435    22.75772696
   -65.5  22.0097939583  22.7301872425
   -65.0  21.9826444167   22.702647525
   -64.5   21.955494875  22.6751078075
   -64.0  21.9283453333    22.64756809
   -63.5  21.9011957917  22.6200283725
   -63.0    21.87404625   22.592488655
   -62.5  21.8468967083  22.5649489375
   -62.0  21.8197471667    22.53740922
   -61.5   21.792597625  22.5098695025
   -61.0  21.7654480833   22.482329785
   -60.5  21.7382985417  22.4547900675
   -60.0      21.711149    22.42725035
   -59.5  21.6843336667  22.4000129608
   -59.0  21.6575183333  22.3727755717
   -58.5      21.630703  22.3455381825
   -58.0  21.6038876667  22.3183007933
   -57.5  21.5770723333  22.2910634042
   -57.0      21.550257   22.263826015
   -56.5  21.5234416667  22.2365886258
   -56.0  21.4966263333  22.2093512367
   -55.5      21.469811  22.1821138475
   -55.0  21.4429956667  22.1548764583
   -54.5  21.4161803333  22.1276390692
   -54.0      21.389365    22.10040168
   -53.5  21.3625496667  22.0731642908
   -53.0  21.3357343333  22.0459269017
   -52.5      21.308919  22.0186895125
   -52.0  21.2821036667  21.9914521233
   -51.5  21.2552883333  21.9642147342
   -51.0      21.228473   21.936977345
   -50.5  21.2016576667  21.9097399558
   -50.0  21.1748423333  21.8825025667
   -49.5      21.148027  21.8552651775
   -49.0  21.1212116667  21.8280277883
   -48.5  21.0943963333  21.8007903992
   -48.0      21.067581    21.77355301
   -47.5     21.0508595  21.7563735696
   -47.0      21.034138  21.7391941292
   -46.5     21.0174165  21.7220146888
   -46.0      21.000695  21.7048352483
   -45.5     20.9839735  21.6876558079
   -45.0      20.967252  21.6704763675
   -44.5     20.9505305  21.6532969271
   -44.0      20.933809  21.6361174867
   -43.5     20.9170875  21.6189380463
   -43.0      20.900366  21.6017586058
   -42.5     20.8836445  21.5845791654
   -42.0      20.866923   21.567399725
   -41.5     20.8502015  21.5502202846
   -41.0       20.83348  21.5330408442
   -40.5     20.8167585  21.5158614037
   -40.0      20.800037  21.4986819633
