time-rel              g              r              i              z
   -95.5     23.8007425   24.112530783  24.3988918373   24.625618171
   -95.0       23.77037  24.0818346443   24.368002448  24.5946140717
   -94.5     23.7399975  24.0511385056  24.3371130587  24.5636099724
   -94.0      23.709625  24.0204423668  24.3062236694   24.532605873
   -93.5     23.6792525  23.9897462281    24.27533428  24.5016017737
   -93.0       23.64888  23.9590500893  24.2444448907  24.4705976744
   -92.5     23.6185075  23.9283539506  24.2135555014   24.439593575
   -92.0      23.588135  23.8976578119  24.1826661121  24.4085894757
   -91.5     23.5577625  23.8669616731  24.1517767228  24.3775853764
   -91.0       23.52739  23.8362655344  24.1208873335   24.346581277
   -90.5     23.4970175  23.8055693956  24.0899979442  24.3155771777
   -90.0      23.466645  23.7748732569  24.0591085549  24.2845730784
   -89.5     23.4362725  23.7441771182  24.0282191656   24.253568979
   -89.0        23.4059  23.7134809794  23.9973297763  24.2225648797
   -88.5     23.3755275  23.6827848407   23.966440387  24.1915607804
   -88.0      23.345155   23.652088702  23.9355509977  24.1605566811
   -87.5     23.3147825  23.6213925632  23.9046616084  24.1295525817
   -87.0       23.28441  23.5906964245  23.8737722191  24.0985484824
   -86.5     23.2540375  23.5600002857  23.8428828298  24.0675443831
   -86.0      23.223665   23.529304147  23.8119934405  24.0365402837
   -85.5     23.1932925  23.4986080083  23.7811040512  24.0055361844
   -85.0       23.16292  23.4679118695  23.7502146619  23.9745320851
   -84.5     23.1325475  23.4372157308  23.7193252726  23.9435279857
   -84.0      23.102175  23.4065195921  23.6884358833  23.9125238864
   -83.5    23.08416525  23.3881737292  23.6698893388  23.8938583053
   -83.0     23.0661555  23.3698278663  23.6513427944  23.8751927243
   -82.5    23.04814575  23.3514820034    23.63279625  23.8565271433
   -82.0      23.030136  23.3331361405  23.6142497056  23.8378615622
   -81.5    23.01212625  23.3147902776  23.5957031611  23.8191959812
   -81.0     22.9941165  23.2964444148  23.5771566167  23.8005304001
   -80.5    22.97610675  23.2780985519  23.5586100723  23.7818648191
   -80.0      22.958097   23.259752689  23.5400635278   23.763199238
   -79.5    22.94008725  23.2414068261  23.5215169834   23.744533657
   -79.0     22.9220775  23.2230609632   23.502970439   23.725868076
   -78.5    22.90406775  23.2047151004  23.4844238945  23.7072024949
   -78.0      22.886058  23.1863692375  23.4658773501  23.6885369139
   -77.5    22.86804825  23.1680233746  23.4473308057  23.6698713328
   -77.0     22.8500385  23.1496775117  23.4287842612  23.6512057518
   -76.5    22.83202875  23.1313316488  23.4102377168  23.6325401707
   -76.0      22.814019  23.1129857859  23.3916911724  23.6138745897
   -75.5    22.79600925  23.0946399231  23.3731446279  23.5952090087
   -75.0     22.7779995  23.0762940602  23.3545980835  23.5765434276
   -74.5    22.75998975  23.0579481973  23.3360515391  23.5578778466
   -74.0       22.74198  23.0396023344  23.3175049946  23.5392122655
   -73.5    22.72397025  23.0212564715  23.2989584502  23.5205466845
   -73.0     22.7059605  23.0029106087  23.2804119058  23.5018811034
   -72.5    22.68795075  22.9845647458  23.2618653614  23.4832155224
   -72.0      22.669941  22.9662188829  23.2433188169  23.4645499414
   -71.5  22.6421076667  22.9380363175  23.2149278539  23.4360353805
   -71.0  22.6142743333  22.9098537521  23.1865368909  23.4075208196
   -70.5      22.586441  22.8816711867   23.158145928  23.3790062587
   -70.0  22.5586076667  22.8534886213   23.129754965  23.3504916978
   -69.5  22.5307743333  22.8253060559   23.101364002   23.321977137
   -69.0      22.502941  22.7971234905   23.072973039  23.2934625761
   -68.5  22.4751076667  22.7689409251   23.044582076  23.2649480152
   -68.0  22.4472743333  22.7407583596   23.016191113  23.2364334543
   -67.5      22.419441  22.7125757942    22.98780015  23.2079188934
   -67.0  22.3916076667  22.6843932288   22.959409187  23.1794043326
