time-rel              g              r              i              z
     0.5  21.0540597083    21.33913999  21.6095584401  21.8268268419
     1.0  21.0559134167  21.3404299593  21.6105120387  21.8275810894
     1.5   21.057767125  21.3417199286  21.6114656372  21.8283353368
     2.0  21.0596208333  21.3430098979  21.6124192357  21.8290895842
     2.5  21.0614745417  21.3442998672  21.6133728343  21.8298438316
     3.0    21.06332825  21.3455898365  21.6143264328   21.830598079
     3.5  21.0651819583  21.3468798058  21.6152800314  21.8313523264
     4.0  21.0670356667  21.3481697751  21.6162336299  21.8321065738
     4.5   21.068889375  21.3494597444  21.6171872285  21.8328608213
     5.0  21.0707430833  21.3507497137   21.618140827  21.8336150687
     5.5  21.0725967917   21.352039683  21.6190944256  21.8343693161
     6.0     21.0744505  21.3533296523  21.6200480241  21.8351235635
     6.5  21.0763042083  21.3546196215  21.6210016227  21.8358778109
     7.0  21.0781579167  21.3559095908  21.6219552212  21.8366320583
     7.5   21.080011625  21.3571995601  21.6229088197  21.8373863057
     8.0  21.0818653333  21.3584895294  21.6238624183  21.8381405531
     8.5  21.0837190417  21.3597794987  21.6248160168  21.8388948006
     9.0    21.08557275   21.361069468  21.6257696154   21.839649048
     9.5  21.0874264583  21.3623594373  21.6267232139  21.8404032954
    10.0  21.0892801667  21.3636494066  21.6276768125  21.8411575428
    10.5   21.091133875  21.3649393759   21.628630411  21.8419117902
    11.0  21.0929875833  21.3662293452  21.6295840096  21.8426660376
    11.5  21.0948412917  21.3675193145  21.6305376081   21.843420285
    12.0      21.096695  21.3688092838  21.6314912067  21.8441745324
    12.5  21.0986279167  21.3701774452  21.6325223622   21.845006174
    13.0  21.1005608333  21.3715456067  21.6335535178  21.8458378156
    13.5    21.10249375  21.3729137681  21.6345846734  21.8466694571
    14.0  21.1044266667  21.3742819295   21.635615829  21.8475010987
    14.5  21.1063595833   21.375650091  21.6366469845  21.8483327403
    15.0     21.1082925  21.3770182524  21.6376781401  21.8491643818
    15.5  21.1102254167  21.3783864138  21.6387092957  21.8499960234
    16.0  21.1121583333  21.3797545753  21.6397404512   21.850827665
    16.5    21.11409125  21.3811227367  21.6407716068  21.8516593065
    17.0  21.1160241667  21.3824908981  21.6418027624  21.8524909481
    17.5  21.1179570833  21.3838590596   21.642833918  21.8533225897
    18.0       21.11989   21.385227221  21.6438650735  21.8541542312
    18.5  21.1218229167  21.3865953824  21.6448962291  21.8549858728
    19.0  21.1237558333  21.3879635439  21.6459273847  21.8558175144
    19.5    21.12568875  21.3893317053  21.6469585403  21.8566491559
    20.0  21.1276216667  21.3906998667  21.6479896958  21.8574807975
    20.5  21.1295545833  21.3920680281  21.6490208514  21.8583124391
    21.0     21.1314875  21.3934361896   21.650052007  21.8591440807
    21.5  21.1334204167   21.394804351  21.6510831625  21.8599757222
    22.0  21.1353533333  21.3961725124  21.6521143181  21.8608073638
    22.5    21.13728625  21.3975406739  21.6531454737  21.8616390054
    23.0  21.1392191667  21.3989088353  21.6541766293  21.8624706469
    23.5  21.1411520833  21.4002769967  21.6552077848  21.8633022885
    24.0      21.143085  21.4016451582  21.6562389404  21.8641339301
    24.5  21.1451042083  21.4030927182  21.6573454446   21.865038545
    25.0  21.1471234167  21.4045402782  21.6584519488  21.8659431599
    25.5   21.149142625  21.4059878383   21.659558453  21.8668477748
    26.0  21.1511618333  21.4074353983  21.6606649572  21.8677523897
    26.5  21.1531810417  21.4088829583  21.6617714613  21.8686570046
    27.0    21.15520025  21.4103305184  21.6628779655  21.8695616195
    27.5  21.1572194583  21.4117780784  21.6639844697  21.8704662345
    28.0  21.1592386667  21.4132256384  21.6650909739  21.8713708494
    28.5   21.161257875  21.4146731985  21.6661974781  21.8722754643
    29.0  21.1632770833  21.4161207585  21.6673039823  21.8731800792
    29.5  21.1652962917  21.4175683185  21.6684104865  21.8740846941
    30.0     21.1673155  21.4190158786  21.6695169907   21.874989309
    30.5  21.1693347083  21.4204634386  21.6706234948  21.8758939239
    31.0  21.1713539167  21.4219109986   21.671729999  21.8767985389
    31.5   21.173373125  21.4233585586  21.6728365032  21.8777031538
    32.0  21.1753923333  21.4248061187  21.6739430074  21.8786077687
    32.5  21.1774115417  21.4262536787  21.6750495116  21.8795123836
    33.0    21.17943075  21.4277012387  21.6761560158  21.8804169985
    33.5  21.1814499583  21.4291487988    21.67726252  21.8813216134
    34.0  21.1834691667  21.4305963588  21.6783690242  21.8822262283
    34.5   21.185488375  21.4320439188  21.6794755283  21.8831308433
    35.0  21.1875075833  21.4334914789  21.6805820325  21.8840354582
    35.5  21.1895267917  21.4349390389  21.6816885367  21.8849400731
    36.0      21.191546  21.4363865989  21.6827950409   21.885844688
    36.5  21.1936595833  21.4379345589  21.6840055035  21.8868554561
    37.0  21.1957731667  21.4394825188   21.685215966  21.8878662242
    37.5    21.19788675  21.4410304788  21.6864264286  21.8888769923
    38.0  21.2000003333  21.4425784387  21.6876368912  21.8898877604
    38.5  21.2021139167  21.4441263986  21.6888473538  21.8908985285
    39.0     21.2042275  21.4456743586  21.6900578163  21.8919092966
    39.5  21.2063410833  21.4472223185  21.6912682789  21.8929200647
    40.0  21.2084546667  21.4487702785  21.6924787415  21.8939308328
    40.5    21.21056825  21.4503182384  21.6936892041  21.8949416009
    41.0  21.2126818333  21.4518661984  21.6948996666   21.895952369
    41.5  21.2147954167  21.4534141583  21.6961101292  21.8969631371
    42.0      21.216909  21.4549621183  21.6973205918  21.8979739052
    42.5  21.2190225833  21.4565100782  21.6985310543  21.8989846733
    43.0  21.2211361667  21.4580580381  21.6997415169  21.8999954414
    43.5    21.22324975  21.4596059981  21.7009519795  21.9010062095
    44.0  21.2253633333   21.461153958  21.7021624421  21.9020169776
    44.5  21.2274769167   21.462701918  21.7033729046  21.9030277457
    45.0     21.2295905  21.4642498779  21.7045833672  21.9040385138
    45.5  21.2317040833  21.4657978379  21.7057938298  21.9050492819
    46.0  21.2338176667  21.4673457978  21.7070042924    21.90606005
    46.5    21.23593125  21.4688937577  21.7082147549  21.9070708181
    47.0  21.2380448333  21.4704417177  21.7094252175  21.9080815862
    47.5  21.2401584167  21.4719896776  21.7106356801  21.9090923543
    48.0      21.242272  21.4735376376  21.7118461426  21.9101031224
    48.5  21.2444891667  21.4751986972   21.713175278  21.9112359422
    49.0  21.2467063333  21.4768597569  21.7145044133  21.9123687621
    49.5     21.2489235  21.4785208166  21.7158335486   21.913501582
