time-rel              g              r              i              z
     0.0      21.929997  22.3824761047  22.7534032778  23.0306813689
     0.5    21.93234425   22.384407547  22.7550822894    23.03220823
     1.0     21.9346915  22.3863389893  22.7567613011  23.0337350912
     1.5    21.93703875  22.3882704315  22.7584403127  23.0352619524
     2.0      21.939386  22.3902018738  22.7601193243  23.0367888136
     2.5    21.94173325   22.392133316   22.761798336  23.0383156748
     3.0     21.9440805  22.3940647583  22.7634773476   23.039842536
     3.5    21.94642775  22.3959962006  22.7651563592  23.0413693971
     4.0      21.948775  22.3979276428  22.7668353709  23.0428962583
     4.5    21.95112225  22.3998590851  22.7685143825  23.0444231195
     5.0     21.9534695  22.4017905274  22.7701933942  23.0459499807
     5.5    21.95581675  22.4037219696  22.7718724058  23.0474768419
     6.0      21.958164  22.4056534119  22.7735514174  23.0490037031
     6.5    21.96051125  22.4075848541  22.7752304291  23.0505305643
     7.0     21.9628585  22.4095162964  22.7769094407  23.0520574254
     7.5    21.96520575  22.4114477387  22.7785884523  23.0535842866
     8.0      21.967553  22.4133791809   22.780267464  23.0551111478
     8.5    21.96990025  22.4153106232  22.7819464756   23.056638009
     9.0     21.9722475  22.4172420655  22.7836254873  23.0581648702
     9.5    21.97459475  22.4191735077  22.7853044989  23.0596917314
    10.0      21.976942    22.42110495  22.7869835105  23.0612185925
    10.5    21.97928925  22.4230363923  22.7886625222  23.0627454537
    11.0     21.9816365  22.4249678345  22.7903415338  23.0642723149
    11.5    21.98398375  22.4268992768  22.7920205454  23.0657991761
    12.0      21.986331   22.428830719  22.7936995571  23.0673260373
    12.5  21.9888067083  22.4307804843  22.7953308461  23.0687656761
    13.0  21.9912824167  22.4327302495   22.796962135  23.0702053148
    13.5   21.993758125  22.4346800147   22.798593424  23.0716449536
    14.0  21.9962338333  22.4366297799   22.800224713  23.0730845924
    14.5  21.9987095417  22.4385795451   22.801856002  23.0745242311
    15.0    22.00118525  22.4405293104  22.8034872909  23.0759638699
    15.5  22.0036609583  22.4424790756  22.8051185799  23.0774035087
    16.0  22.0061366667  22.4444288408  22.8067498689  23.0788431475
    16.5   22.008612375   22.446378606  22.8083811579  23.0802827862
    17.0  22.0110880833  22.4483283713  22.8100124468   23.081722425
    17.5  22.0135637917  22.4502781365  22.8116437358  23.0831620638
    18.0     22.0160395  22.4522279017  22.8132750248  23.0846017026
    18.5  22.0185152083  22.4541776669  22.8149063138  23.0860413413
    19.0  22.0209909167  22.4561274321  22.8165376028  23.0874809801
    19.5   22.023466625  22.4580771974  22.8181688917  23.0889206189
    20.0  22.0259423333  22.4600269626  22.8198001807  23.0903602577
    20.5  22.0284180417  22.4619767278  22.8214314697  23.0917998964
    21.0    22.03089375   22.463926493  22.8230627587  23.0932395352
    21.5  22.0333694583  22.4658762582  22.8246940476   23.094679174
    22.0  22.0358451667  22.4678260235  22.8263253366  23.0961188127
    22.5   22.038320875  22.4697757887  22.8279566256  23.0975584515
    23.0  22.0407965833  22.4717255539  22.8295879146  23.0989980903
    23.5  22.0432722917  22.4736753191  22.8312192035  23.1004377291
    24.0      22.045748  22.4756250844  22.8328504925  23.1018773678
    24.5  22.0483670833  22.4775586383  22.8343700085   23.103148334
    25.0  22.0509861667  22.4794921922  22.8358895245  23.1044193001
    25.5    22.05360525  22.4814257461  22.8374090406  23.1056902662
    26.0  22.0562243333     22.4833593  22.8389285566  23.1069612323
    26.5  22.0588434167  22.4852928539  22.8404480726  23.1082321985
    27.0     22.0614625  22.4872264078  22.8419675886  23.1095031646
    27.5  22.0640815833  22.4891599617  22.8434871046  23.1107741307
    28.0  22.0667006667  22.4910935156  22.8450066206  23.1120450969
    28.5    22.06931975  22.4930270695  22.8465261366   23.113316063
    29.0  22.0719388333  22.4949606234  22.8480456526  23.1145870291
    29.5  22.0745579167  22.4968941773  22.8495651686  23.1158579952
    30.0      22.077177  22.4988277312  22.8510846846  23.1171289614
    30.5  22.0797960833  22.5007612851  22.8526042006  23.1183999275
    31.0  22.0824151667   22.502694839  22.8541237166  23.1196708936
    31.5    22.08503425  22.5046283929  22.8556432327  23.1209418598
    32.0  22.0876533333  22.5065619468  22.8571627487  23.1222128259
    32.5  22.0902724167  22.5084955007  22.8586822647   23.123483792
    33.0     22.0928915  22.5104290546  22.8602017807  23.1247547581
    33.5  22.0955105833  22.5123626085  22.8617212967  23.1260257243
    34.0  22.0981296667  22.5142961624  22.8632408127  23.1272966904
    34.5    22.10074875  22.5162297163  22.8647603287  23.1285676565
    35.0  22.1033678333  22.5181632702  22.8662798447  23.1298386226
    35.5  22.1059869167  22.5200968241  22.8677993607  23.1311095888
    36.0      22.108606   22.522030378  22.8693188767  23.1323805549
    36.5  22.1113860417   22.523880681  22.8706095099  23.1333360183
    37.0  22.1141660833   22.525730984   22.871900143  23.1342914816
    37.5   22.116946125   22.527581287  22.8731907762   23.135246945
    38.0  22.1197261667    22.52943159  22.8744814093  23.1362024084
    38.5  22.1225062083   22.531281893  22.8757720425  23.1371578717
    39.0    22.12528625   22.533132196  22.8770626756  23.1381133351
    39.5  22.1280662917  22.5349824989  22.8783533088  23.1390687985
    40.0  22.1308463333  22.5368328019  22.8796439419  23.1400242618
    40.5   22.133626375  22.5386831049   22.880934575  23.1409797252
    41.0  22.1364064167  22.5405334079  22.8822252082  23.1419351886
    41.5  22.1391864583  22.5423837109  22.8835158413  23.1428906519
    42.0     22.1419665  22.5442340139  22.8848064745  23.1438461153
    42.5  22.1447465417  22.5460843169  22.8860971076  23.1448015787
    43.0  22.1475265833  22.5479346199  22.8873877408   23.145757042
    43.5   22.150306625  22.5497849229  22.8886783739  23.1467125054
    44.0  22.1530866667  22.5516352259  22.8899690071  23.1476679688
    44.5  22.1558667083  22.5534855289  22.8912596402  23.1486234321
    45.0    22.15864675  22.5553358319  22.8925502734  23.1495788955
    45.5  22.1614267917  22.5571861349  22.8938409065  23.1505343589
    46.0  22.1642068333  22.5590364379  22.8951315397  23.1514898222
    46.5   22.166986875  22.5608867409  22.8964221728  23.1524452856
    47.0  22.1697669167  22.5627370439   22.897712806  23.1534007489
    47.5  22.1725469583  22.5645873469  22.8990034391  23.1543562123
    48.0      22.175327  22.5664376499  22.9002940723  23.1553116757
    48.5  22.1782892083  22.5680703959  22.9011292158  23.1556706792
    49.0  22.1812514167   22.569703142  22.9019643594  23.1560296826
    49.5   22.184213625   22.571335888  22.9027995029  23.1563886861
    50.0  22.1871758333   22.572968634  22.9036346465  23.1567476896
    50.5  22.1901380417  22.5746013801  22.9044697901  23.1571066931
    51.0    22.19310025  22.5762341261  22.9053049336  23.1574656965
    51.5  22.1960624583  22.5778668721  22.9061400772     23.1578247
    52.0  22.1990246667  22.5794996182  22.9069752208  23.1581837035
    52.5   22.201986875  22.5811323642  22.9078103643   23.158542707
    53.0  22.2049490833  22.5827651102  22.9086455079  23.1589017105
    53.5  22.2079112917  22.5843978562  22.9094806515  23.1592607139
    54.0     22.2108735  22.5860306023   22.910315795  23.1596197174
    54.5  22.2138357083  22.5876633483  22.9111509386  23.1599787209
    55.0  22.2167979167  22.5892960943  22.9119860822  23.1603377244
    55.5   22.219760125  22.5909288404  22.9128212257  23.1606967279
    56.0  22.2227223333  22.5925615864  22.9136563693  23.1610557313
    56.5  22.2256845417  22.5941943324  22.9144915129  23.1614147348
    57.0    22.22864675  22.5958270784  22.9153266564  23.1617737383
    57.5  22.2316089583  22.5974598245     22.9161618  23.1621327418
    58.0  22.2345711667  22.5990925705  22.9169969436  23.1624917452
    58.5   22.237533375  22.6007253165  22.9178320871  23.1628507487
    59.0  22.2404955833  22.6023580626  22.9186672307  23.1632097522
    59.5  22.2434577917  22.6039908086  22.9195023743  23.1635687557
    60.0       22.24642  22.6056235546  22.9203375178  23.1639277592
    60.5  22.2495897917  22.6067489212  22.9202404133  23.1631036114
    61.0  22.2527595833  22.6078742878  22.9201433089  23.1622794636
    61.5   22.255929375  22.6089996543  22.9200462044  23.1614553158
    62.0  22.2590991667  22.6101250209  22.9199490999   23.160631168
    62.5  22.2622689583  22.6112503875  22.9198519954  23.1598070202
    63.0    22.26543875   22.612375754  22.9197548909  23.1589828724
    63.5  22.2686085417  22.6135011206  22.9196577864  23.1581587246
    64.0  22.2717783333  22.6146264871  22.9195606819  23.1573345768
    64.5   22.274948125  22.6157518537  22.9194635774  23.1565104289
    65.0  22.2781179167  22.6168772203   22.919366473  23.1556862811
    65.5  22.2812877083  22.6180025868  22.9192693685  23.1548621333
    66.0     22.2844575  22.6191279534   22.919172264  23.1540379855
    66.5  22.2876272917    22.62025332  22.9190751595  23.1532138377
    67.0  22.2907970833  22.6213786865   22.918978055  23.1523896899
    67.5   22.293966875  22.6225040531  22.9188809505  23.1515655421
    68.0  22.2971366667  22.6236294197   22.918783846  23.1507413943
    68.5  22.3003064583  22.6247547862  22.9186867415  23.1499172465
    69.0    22.30347625  22.6258801528  22.9185896371  23.1490930987
    69.5  22.3066460417  22.6270055194  22.9184925326  23.1482689509
    70.0  22.3098158333  22.6281308859  22.9183954281  23.1474448031
    70.5   22.312985625  22.6292562525  22.9182983236  23.1466206553
    71.0  22.3161554167  22.6303816191  22.9182012191  23.1457965075
    71.5  22.3193252083  22.6315069856  22.9181041146  23.1449723597
    72.0      22.322495  22.6326323522  22.9180070101  23.1441482119
    72.5    22.32590375  22.6325355458   22.915818286  23.1407202448
    73.0     22.3293125  22.6324387395  22.9136295618  23.1372922776
    73.5    22.33272125  22.6323419332  22.9114408376  23.1338643104
    74.0       22.33613  22.6322451268  22.9092521134  23.1304363433
    74.5    22.33953875  22.6321483205  22.9070633893  23.1270083761
    75.0     22.3429475  22.6320515141  22.9048746651   23.123580409
    75.5    22.34635625  22.6319547078  22.9026859409  23.1201524418
    76.0      22.349765  22.6318579015  22.9004972168  23.1167244746
    76.5    22.35317375  22.6317610951  22.8983084926  23.1132965075
    77.0     22.3565825  22.6316642888  22.8961197684  23.1098685403
    77.5    22.35999125  22.6315674824  22.8939310442  23.1064405731
    78.0        22.3634  22.6314706761  22.8917423201   23.103012606
    78.5    22.36680875  22.6313738698  22.8895535959  23.0995846388
    79.0     22.3702175  22.6312770634  22.8873648717  23.0961566716
    79.5    22.37362625  22.6311802571  22.8851761475  23.0927287045
    80.0      22.377035  22.6310834507  22.8829874234  23.0893007373
    80.5    22.38044375  22.6309866444  22.8807986992  23.0858727701
    81.0     22.3838525   22.630889838   22.878609975   23.082444803
    81.5    22.38726125  22.6307930317  22.8764212509  23.0790168358
    82.0       22.39067  22.6306962254  22.8742325267  23.0755888687
    82.5    22.39407875   22.630599419  22.8720438025  23.0721609015
    83.0     22.3974875  22.6305026127  22.8698550783  23.0687329343
    83.5    22.40089625  22.6304058063  22.8676663542  23.0653049672
