time-rel              g              i
   -47.5   23.607139125  24.4305454028
   -47.0    23.57681525  24.4002215278
   -46.5   23.546491375  24.3698976528
   -46.0     23.5161675  24.3395737778
   -45.5   23.485843625  24.3092499028
   -45.0    23.45551975  24.2789260278
   -44.5   23.425195875  24.2486021528
   -44.0      23.394872  24.2182782778
   -43.5   23.364548125  24.1879544028
   -43.0    23.33422425  24.1576305278
   -42.5   23.303900375  24.1273066528
   -42.0     23.2735765  24.0969827778
   -41.5   23.243252625  24.0666589028
   -41.0    23.21292875  24.0363350278
   -40.5   23.182604875  24.0060111528
   -40.0      23.152281  23.9756872778
   -39.5   23.121957125  23.9453634028
   -39.0    23.09163325  23.9150395278
   -38.5   23.061309375  23.8847156528
   -38.0     23.0309855  23.8543917778
   -37.5   23.000661625  23.8240679028
   -37.0    22.97033775  23.7937440278
   -36.5   22.940013875  23.7634201528
   -36.0       22.90969  23.7330962778
   -35.5  22.8916969167  23.7151031944
   -35.0  22.8737038333  23.6971101111
   -34.5    22.85571075  23.6791170278
   -34.0  22.8377176667  23.6611239444
   -33.5  22.8197245833  23.6431308611
   -33.0     22.8017315  23.6251377778
   -32.5  22.7837384167  23.6071446944
   -32.0  22.7657453333  23.5891516111
   -31.5    22.74775225  23.5711585278
   -31.0  22.7297591667  23.5531654444
   -30.5  22.7117660833  23.5351723611
   -30.0      22.693773  23.5171792778
   -29.5  22.6757799167  23.4991861944
   -29.0  22.6577868333  23.4811931111
   -28.5    22.63979375  23.4632000278
   -28.0  22.6218006667  23.4452069444
   -27.5  22.6038075833  23.4272138611
   -27.0     22.5858145  23.4092207778
   -26.5  22.5678214167  23.3912276944
   -26.0  22.5498283333  23.3732346111
   -25.5    22.53183525  23.3552415278
   -25.0  22.5138421667  23.3372484444
   -24.5  22.4958490833  23.3192553611
   -24.0      22.477856  23.3012622778
   -23.5  22.4650174583  23.2884237361
   -23.0  22.4521789167  23.2755851944
   -22.5   22.439340375  23.2627466528
   -22.0  22.4265018333  23.2499081111
   -21.5  22.4136632917  23.2370695694
   -21.0    22.40082475  23.2242310278
   -20.5  22.3879862083  23.2113924861
   -20.0  22.3751476667  23.1985539444
   -19.5   22.362309125  23.1857154028
   -19.0  22.3494705833  23.1728768611
   -18.5  22.3366320417  23.1600383194
   -18.0     22.3237935  23.1471997778
   -17.5  22.3109549583  23.1343612361
   -17.0  22.2981164167  23.1215226944
   -16.5   22.285277875  23.1086841528
   -16.0  22.2724393333  23.0958456111
   -15.5  22.2596007917  23.0830070694
   -15.0    22.24676225  23.0701685278
   -14.5  22.2339237083  23.0573299861
   -14.0  22.2210851667  23.0444914444
   -13.5   22.208246625  23.0316529028
   -13.0  22.1954080833  23.0188143611
   -12.5  22.1825695417  23.0059758194
   -12.0      22.169731  22.9931372778
   -11.5  22.1597420833  22.9831483611
   -11.0  22.1497531667  22.9731594444
   -10.5    22.13976425  22.9631705278
   -10.0  22.1297753333  22.9531816111
    -9.5  22.1197864167  22.9431926944
    -9.0     22.1097975  22.9332037778
    -8.5  22.0998085833  22.9232148611
    -8.0  22.0898196667  22.9132259444
    -7.5    22.07983075  22.9032370278
    -7.0  22.0698418333  22.8932481111
    -6.5  22.0598529167  22.8832591944
    -6.0      22.049864  22.8732702778
    -5.5  22.0398750833  22.8632813611
    -5.0  22.0298861667  22.8532924444
    -4.5    22.01989725  22.8433035278
    -4.0  22.0099083333  22.8333146111
    -3.5  21.9999194167  22.8233256944
    -3.0     21.9899305  22.8133367778
    -2.5  21.9799415833  22.8033478611
    -2.0  21.9699526667  22.7933589444
    -1.5    21.95996375  22.7833700278
    -1.0  21.9499748333  22.7733811111
    -0.5  21.9399859167  22.7633921944
     0.0      21.929997  22.7534032778
