       time-rel              g              r              i              z
        -355.44  14.6928706643  14.7870959166  14.8983393912  15.2679196513
        -354.94  14.6740413018  14.7673925019  14.8798752439  15.2469527459
        -354.44  14.6552635294   14.747744337  14.8614632285  15.2260476048
        -353.94  14.6365372744  14.7281513445  14.8431032725   15.205204142
        -353.44   14.617862464  14.7086134467  14.8247953032  15.1844222717
        -352.94  14.5992390255  14.6891305663   14.806539248   15.163701908
        -352.44   14.580666886  14.6697026255  14.7883350342  15.1430429649
        -351.94  14.5621459729  14.6503295469  14.7701825893  15.1224453566
        -351.44  14.5436762133  14.6310112529  14.7520818405  15.1019089972
        -350.94  14.5252575344   14.611747666  14.7340327152  15.0814338007
        -350.44  14.5068898636  14.5925387087  14.7160351408  15.0610196813
        -349.94   14.488573128  14.5733843034  14.6980890447   15.040666553
        -349.44  14.4703072548  14.5542843725  14.6801943541    15.02037433
        -348.94  14.4520921714  14.5352388385  14.6623509966  15.0001429264
        -348.44  14.4339278048  14.5162476239  14.6445588994  14.9799722562
        -347.94  14.4158140825  14.4973106512  14.6268179899  14.9598622336
        -347.44  14.3977509315  14.4784278427  14.6091281954  14.9398127727
        -346.94  14.3797382791  14.4595991209  14.5914894434  14.9198237875
        -346.44  14.3617760525  14.4408244084  14.5739016611  14.8998951922
        -345.94  14.3438641791  14.4221036276   14.556364776  14.8800269009
        -345.44  14.3260025859  14.4034367008  14.5388787154  14.8602188276
        -344.94  14.3081912003  14.3848235507  14.5214434067  14.8404708864
        -344.44  14.2904299494  14.3662640995  14.5040587772  14.8207829916
        -343.94  14.2727187605  14.3477582699  14.4867247543  14.8011550571
        -343.44  14.2550575609  14.3293059842  14.4694412653   14.781586997
        -342.94  14.2374462777  14.3109071649  14.4522082377  14.7620787256
        -342.44  14.2198848382  14.2925617345  14.4350255987  14.7426301567
        -341.94  14.2023731696  14.2742696155  14.4178932758  14.7232412047
        -341.44  14.1849111991  14.2560307301  14.4008111962  14.7039117835
        -340.94   14.167498854  14.2378450011  14.3837792875  14.6846418073
        -340.44  14.1501360616  14.2197123507  14.3667974768  14.6654311901
        -339.94   14.132822749  14.2016327015  14.3498656916  14.6462798461
        -339.44  14.1155588434  14.1836059759  14.3329838593  14.6271876893
        -338.94  14.0983442721  14.1656320964  14.3161519072  14.6081546339
        -338.44  14.0811789624  14.1477109854  14.2993697626   14.589180594
        -337.94  14.0640628414  14.1298425654   14.282637353  14.5702654836
        -337.44  14.0469958364  14.1120267588  14.2659546057  14.5514092169
        -336.94  14.0299778747  14.0942634881   14.249321448  14.5326117079
        -336.44  14.0130088834  14.0765526758  14.2327378074  14.5138728708
        -335.94  13.9960887897  14.0588942443  14.2162036111  14.4951926197
        -335.44   13.979217521  14.0412881161  14.1997187866  14.4765708686
        -334.94  13.9623950044  14.0237342136  14.1832832611  14.4580075317
        -334.44  13.9456211672  14.0062324593  14.1668969621  14.4395025231
        -333.94  13.9288959366  13.9887827757   14.150559817  14.4210557568
        -333.44  13.9122192398  13.9713850851   14.134271753  14.4026671469
        -332.94  13.8955910041  13.9540393101  14.1180326976  14.3843366076
        -332.44  13.8790111567  13.9367453732  14.1018425781   14.366064053
        -331.94  13.8624796248  13.9195031967  14.0857013218  14.3478493971
        -331.44  13.8459963356  13.9023127031  14.0696088562  14.3296925541
        -330.94  13.8295612164   13.885173815  14.0535651086  14.3115934381
        -330.44  13.8131741945  13.8680864547  14.0375700064  14.2935519631
        -329.94   13.796835197  13.8510505447  14.0216234768  14.2755680432
        -329.44  13.7805441511  13.8340660074  14.0057254474  14.2576415927
        -328.94  13.7643009842  13.8171327654  13.9898758453  14.2397725254
        -328.44  13.7481056234  13.8002507411  13.9740745981  14.2219607557
        -327.94   13.731957996  13.7834198569   13.958321633  14.2042061975
        -327.44  13.7158580292  13.7666400354  13.9426168775  14.1865087649
        -326.94  13.6998056501  13.7499111988  13.9269602589  14.1688683721
        -326.44  13.6838007862  13.7332332698  13.9113517045  14.1512849332
