time-rel               g               r               i               z
   7.872  -16.3290298507  -15.8457575758  -15.4601886792  -15.3020243229
   8.372  -16.3996144279  -15.9161489899  -15.5290833333  -15.3702108299
   8.872  -16.4626284722   -15.986540404  -15.5868484848   -15.422002244
   9.372  -16.5053802083  -16.0569318182  -15.6446136364  -15.4737936582
   9.872  -16.5481319444   -16.106585034  -15.7023787879  -15.5353967287
  10.372  -16.5908836806  -16.1546292517  -15.7654913793  -15.6056384691
  10.872  -16.6336354167  -16.2026734694  -15.8290689655  -15.6765652026
  11.372  -16.6714398148  -16.2507176871  -15.8878574297  -15.7404369848
  11.872  -16.7067407407  -16.2942621083  -15.9162208835  -15.7616180193
  12.372  -16.7420416667  -16.3222179487  -15.9445843373  -15.7901743231
  12.872  -16.7773425926  -16.3501737892  -15.9729477912   -15.818730627
  13.372  -16.8126435185  -16.3781296296  -16.0012843137  -15.8472472579
  13.872  -16.8419345794  -16.4060854701  -16.0294705882  -15.8755425553
  14.372  -16.8647149533  -16.4340413105  -16.0576568627  -15.9038378528
  14.872  -16.8874953271  -16.4623453453  -16.0858431373  -15.9319684126
  15.372  -16.9102757009  -16.4908738739  -16.1141864407  -15.9602240823
  15.872  -16.9330560748  -16.5194024024  -16.1445536723  -15.9914612411
  16.372  -16.9539478458  -16.5479309309   -16.174920904     -16.0226984
  16.872  -16.9712380952  -16.5764594595  -16.2052881356  -16.0539355588
  17.372  -16.9885283447  -16.6015492662  -16.2356553672  -16.0867996457
  17.872  -17.0058185941  -16.6177966457  -16.2660225989  -16.1238472618
  18.372  -17.0231088435  -16.6340440252  -16.2923316832  -16.1549167399
  18.872   -17.040399093  -16.6502914046  -16.3127524752   -16.177312057
  19.372  -17.0576893424  -16.6665387841  -16.3331732673   -16.199707374
  19.872  -17.0734285714  -16.6827861635  -16.3535940594  -16.2221026911
  20.372  -17.0853333333   -16.699033543  -16.3740148515  -16.2444980082
  20.872  -17.0972380952  -16.7152809224  -16.3922105263  -16.2636154605
  21.372  -17.1091428571  -16.7304144737  -16.4086578947  -16.2806844221
  21.872   -17.121047619  -16.7449429825  -16.4251052632  -16.2980396414
  22.372   -17.132952381  -16.7594714912  -16.4415526316  -16.3153948607
  22.872  -17.1447210884         -16.774         -16.458    -16.33275008
  23.372  -17.1560589569  -16.7885285088  -16.4744473684  -16.3501052993
  23.872  -17.1673968254  -16.8030570175  -16.4901279762  -16.3663309881
  24.372  -17.1787346939  -16.8175855263    -16.50221875  -16.3772684208
  24.872  -17.1900725624  -16.8305675676  -16.5143095238  -16.3889375181
  25.372  -17.2014104308  -16.8407027027  -16.5264002976  -16.4019535437
  25.872  -17.2127482993  -16.8508378378  -16.5384910714  -16.4149695693
  26.372   -17.222630137   -16.860972973  -16.5505818452  -16.4279855949
  26.872  -17.2260547945  -16.8711081081  -16.5609545455  -16.4384706919
  27.372  -17.2294794521  -16.8812432432  -16.5708977273  -16.4483230568
  27.872  -17.2329041096  -16.8913783784  -16.5808409091  -16.4581754216
  28.372  -17.2363287671  -16.9015135135  -16.5907840909  -16.4680277865
  28.872  -17.2397534247  -16.9116486486  -16.6007272727  -16.4778801514
  29.372  -17.2431780822  -16.9190593368  -16.6106704545  -16.4890215066
  29.872         -17.246  -16.9234223386  -16.6198991597  -16.5005522733
  30.372         -17.246  -16.9277853403   -16.628302521  -16.5108672095
  30.872         -17.246  -16.9321483421  -16.6367058824  -16.5211821458
  31.372         -17.246  -16.9365113438  -16.6451092437  -16.5314970821
  31.872         -17.246  -16.9408743455   -16.653512605  -16.5418120184
  32.372         -17.246  -16.9452373473  -16.6619159664  -16.5521269547
