time-rel               g               r               i               z
   2.372  -15.1281011399  -14.5225090321  -14.2207640466   -14.102258459
   2.872  -15.2764135597  -14.6880292966  -14.3658904454  -14.2377361121
   3.372  -15.4163906554  -14.8439515591  -14.5036828167  -14.3669508693
   3.872  -15.5482879169  -14.9905859369  -14.6343531623   -14.490068312
   4.372  -15.6723608344  -15.1282425469  -14.7581134839  -14.6072540216
   4.872  -15.7888648977  -15.2572315063  -14.8751757831  -14.7186735793
   5.372  -15.8980555968  -15.3778629321  -14.9857520616  -14.8244925666
   5.872  -16.0001884217  -15.4904469416  -15.0900543212  -14.9248765646
   6.372  -16.0955188623  -15.5952936519  -15.1882945636  -15.0199911549
   6.872  -16.1843024087  -15.6927131799  -15.2806847903  -15.1100019187
   7.372  -16.2667945508   -15.783015643  -15.3674370033  -15.1950744373
   7.872  -16.3432507785  -15.8665111581  -15.4487632041  -15.2753742921
   8.372   -16.413926582  -15.9435098423  -15.5248753944  -15.3510670644
   8.872   -16.479077451  -16.0143218129   -15.595985576  -15.4223183356
   9.372  -16.5389588756  -16.0792571869  -15.6623057506   -15.489293687
   9.872  -16.5938263458  -16.1386260813  -15.7240479198     -15.5521587
  10.372  -16.6439353516  -16.1927386134  -15.7814240853  -15.6110789558
  10.872  -16.6895413829  -16.2419049003  -15.8346462489  -15.6662200358
  11.372  -16.7308999296   -16.286435059  -15.8839264123  -15.7177475213
  11.872  -16.7682664819  -16.3266392067  -15.9294765771  -15.7658269938
  12.372  -16.8018965295  -16.3628274605  -15.9715087451  -15.8106240344
  12.872  -16.8320455626  -16.3953099374  -16.0102349179  -15.8523042246
  13.372  -16.8589690711  -16.4243967547  -16.0458670973  -15.8910331457
  13.872  -16.8829225449  -16.4503980294  -16.0786172849  -15.9269763791
  14.372   -16.904161474  -16.4736238786  -16.1086974825   -15.960299506
  14.872  -16.9229413485  -16.4943844195  -16.1363196917  -15.9911681077
  15.372  -16.9395176582  -16.5129897691  -16.1616959143  -16.0197477658
  15.872  -16.9541458931  -16.5297500446   -16.185038152  -16.0462040614
  16.372  -16.9670815433  -16.5449753631  -16.2065584064  -16.0707025759
  16.872  -16.9785800987  -16.5589758417  -16.2264686793  -16.0934088906
  17.372  -16.9888970493  -16.5720615975  -16.2449809723   -16.114488587
  17.872   -16.998287885  -16.5845427476  -16.2623072872  -16.1341072462
  18.372  -17.0070080958  -16.5967294091  -16.2786596257  -16.1524304497
  18.872  -17.0153131716  -16.6089316992  -16.2942499894  -16.1696237788
  19.372  -17.0234586026   -16.621459735    -16.30929038  -16.1858528148
  19.872  -17.0316998786  -16.6346236336  -16.3239927994  -16.2012831391
  20.372  -17.0402924896   -16.648733512  -16.3385692491   -16.216080333
  20.872  -17.0494919255  -16.6640994874  -16.3532317308  -16.2304099778
  21.372  -17.0595536764   -16.681031677  -16.3681922463  -16.2444376549
  21.872  -17.0707332323  -16.6998401977  -16.3836627973  -16.2583289456
  22.372   -17.083286083  -16.7208351669  -16.3998553855  -16.2722494313
  22.872  -17.0974677186  -16.7443267014  -16.4169820125  -16.2863646932
