time-rel               g               i
   30.14  -17.5628136449  -16.9076195982
   30.64   -17.534175538  -16.8882634638
   31.14  -17.5057452414  -16.8690659774
   31.64  -17.4775226669  -16.8500270352
   32.14  -17.4495077263  -16.8311465332
   32.64  -17.4217003315  -16.8124243677
   33.14  -17.3941003941  -16.7938604349
   33.64   -17.366707826  -16.7754546309
   34.14   -17.339522539  -16.7572068518
   34.64  -17.3125444448  -16.7391169938
   35.14  -17.2857734554  -16.7211849531
   35.64  -17.2592094824  -16.7034106258
   36.14  -17.2328524377  -16.6857939081
   36.64  -17.2067022331  -16.6683346962
   37.14  -17.1807587803  -16.6510328863
   37.64  -17.1550219912  -16.6338883744
   38.14  -17.1294917776  -16.6169010567
   38.64  -17.1041680512  -16.6000708295
   39.14  -17.0790507239  -16.5833975888
   39.64  -17.0541397074  -16.5668812309
   40.14  -17.0294349135  -16.5505216518
   40.64  -17.0049362541  -16.5343187478
   41.14   -16.980643641  -16.5182724151
   41.64  -16.9565569859  -16.5023825496
   42.14  -16.9326762006  -16.4866490478
   42.64  -16.9090011969  -16.4710718056
   43.14  -16.8855318866  -16.4556507193
   43.64  -16.8622681816   -16.440385685
   44.14  -16.8392099936  -16.4252765989
   44.64  -16.8163572344  -16.4103233571
   45.14  -16.7937098158  -16.3955258559
   45.64  -16.7712676496  -16.3808839913
   46.14  -16.7490306476  -16.3663976595
   46.64  -16.7269987216  -16.3520667568
   47.14  -16.7051717834  -16.3378911792
   47.64  -16.6835497448  -16.3238708229
   48.14  -16.6621325176   -16.310005584
   48.64  -16.6409200136  -16.2962953588
   49.14  -16.6199121445  -16.2827400434
   49.64  -16.5991088222   -16.269339534
   50.14  -16.5785099585  -16.2560937267
   50.64  -16.5581154652  -16.2430025176
   51.14   -16.537925254   -16.230065803
   51.64  -16.5179392368  -16.2172834791
   52.14  -16.4981573253  -16.2046554418
   52.64  -16.4785794314  -16.1921815875
   53.14  -16.4592054669  -16.1798618123
   53.64  -16.4400353434  -16.1676960124
   54.14   -16.421068973  -16.1556840838
   54.64  -16.4023062673  -16.1438259228
   55.14  -16.3837471381  -16.1321214256
   55.64  -16.3653914972  -16.1205704882
   56.14  -16.3472392565   -16.109173007
   56.64  -16.3292903277  -16.0979288779
   57.14  -16.3115446226  -16.0868379972
   57.64   -16.294002053   -16.075900261
   58.14  -16.2766625308  -16.0651155656
   58.64  -16.2595259676   -16.054483807
   59.14  -16.2425922754  -16.0440048815
   59.64  -16.2258613659  -16.0336786851
   60.14  -16.2093331508  -16.0235051141
   60.64  -16.1930075421  -16.0134840645
   61.14  -16.1768844515  -16.0036154327
   61.64  -16.1609637907  -15.9938991147
   62.14  -16.1452454716  -15.9843350067
   62.64   -16.129729406  -15.9749230048
   63.14  -16.1144155057  -15.9656630053
   63.64  -16.0993036825  -15.9565549042
   64.14  -16.0843938481  -15.9475985978
   64.64  -16.0696859144  -15.9387939821
