time-rel              g              r              i              z
  28.944  15.8462705798  15.8778718111  16.0417779373  16.0950692037
  29.444  15.8139992755  15.8454590815  16.0109139082  16.0649378958
  29.944  15.7821928299  15.8135350741  15.9804964251  16.0352331795
  30.444  15.7508468386  15.7820948909  15.9505211629  16.0059510008
  30.944  15.7199568971  15.7511336342  15.9209837965  15.9770873053
  31.444  15.6895186009  15.7206464062  15.8918800008  15.9486380392
  31.944  15.6595275454   15.690628309  15.8632054508  15.9205991481
  32.444  15.6299793263   15.661074445  15.8349558212  15.8929665779
  32.944  15.6008695389  15.6319799163  15.8071267871  15.8657362746
  33.444  15.5721937789  15.6033398251  15.7797140233   15.838904184
  33.944  15.5439476417  15.5751492736  15.7527132048  15.8124662519
  34.444  15.5161267229   15.547403364  15.7261200064  15.7864184243
  34.944  15.4887266179  15.5200971986  15.6999301031  15.7607566469
  35.444  15.4617429224  15.4932258794  15.6741391697  15.7354768656
  35.944  15.4351712317  15.4667845088  15.6487428812  15.7105750264
  36.444  15.4090071414  15.4407681889  15.6237369125   15.686047075
  36.944   15.383246247  15.4151720219  15.5991169385  15.6618889574
  37.444   15.357884144  15.3899911101   15.574878634  15.6380966194
  37.944   15.332916428  15.3652205556  15.5510176741  15.6146660068
  38.444  15.3083386944  15.3408554606  15.5275297335  15.5915930656
  38.944  15.2841465388  15.3168909274  15.5044104873  15.5688737415
  39.444  15.2603355566  15.2933220581  15.4816556103  15.5465039805
  39.944  15.2369013434  15.2701439549  15.4592607774  15.5244797285
  40.444  15.2138394947  15.2473517201  15.4372216635  15.5027969312
  40.944  15.1911456061  15.2249404559  15.4155339436  15.4814515345
  41.444  15.1688152729  15.2029052644  15.3941932925  15.4604394844
  41.944  15.1468440908  15.1812412479  15.3731953852  15.4397567267
  42.444  15.1252276552  15.1599435085  15.3525358965  15.4193992072
  42.944  15.1039615616  15.1390071485  15.3322105014  15.3993628718
  43.444  15.0830414056  15.1184272701  15.3122148748  15.3796436663
  43.944  15.0624627828  15.0981989754  15.2925446915  15.3602375367
  44.444  15.0422212884  15.0783173668  15.2731956266  15.3411404289
  44.944  15.0223125182  15.0587775463  15.2541633548  15.3223482885
  45.444  15.0027320676  15.0395746161  15.2354435511  15.3038570616
  45.944  14.9834755322  15.0207036786  15.2170318904   15.285662694
  46.444  14.9645385073  15.0021598358  15.1989240477  15.2677611316
  46.944  14.9459165886  14.9839381901  15.1811156977  15.2501483201
  47.444  14.9276053716  14.9660338435  15.1636025155  15.2328202056
  47.944  14.9096004517  14.9484418983  15.1463801759  15.2157727338
  48.444  14.8918974245  14.9311574568  15.1294443538  15.1990018506
  48.944  14.8744918856   14.914175621  15.1127907242  15.1825035019
  49.444  14.8573794303  14.8974914932   15.096414962  15.1662736335
  49.944  14.8405556542  14.8811001757   15.080312742  15.1503081913
  50.444  14.8240161529  14.8649967705  15.0644797391  15.1346031213
  50.944  14.8077565218    14.84917638  15.0489116284  15.1191543691
  51.444  14.7917723565  14.8336341063  15.0336040846  15.1039578807
  51.944  14.7760592524  14.8183650516  15.0185527827   15.089009602
  52.444  14.7606128051  14.8033643182  15.0037533976  15.0743054789
  52.944  14.7454286101  14.7886270081  14.9892016042  15.0598414571
  53.444   14.730502263  14.7741482237  14.9748930774  15.0456134826
  53.944  14.7158293591  14.7599230671  14.9608234921  15.0316175012
  54.444   14.701405494  14.7459466406  14.9469885233  15.0178494588
  54.944  14.6872262633  14.7322140463  14.9333838457  15.0043053012
  55.444  14.6732872624  14.7187203865  14.9200051344  14.9909809744
  55.944  14.6595840869  14.7054607633  14.9068480642  14.9778724241
  56.444  14.6461123323  14.6924302789  14.8939083101  14.9649755962
  56.944   14.632867594  14.6796240356  14.8811815469  14.9522864367
  57.444  14.6198454677  14.6670371356  14.8686634496  14.9398008914
  57.944  14.6070415488   14.654664681  14.8563496931   14.927514906
  58.444  14.5944514327   14.642501774  14.8442359522  14.9154244266
  58.944  14.5820707151   14.630543517  14.8323179019   14.903525399
  59.444  14.5698949915   14.618785012  14.8205912171  14.8918137689
  59.944  14.5579198573  14.6072213613  14.8090515727  14.8802854824
  60.444  14.5461409081   14.595847667  14.7976946436  14.8689364852
  60.944  14.5345537393  14.5846590314  14.7865161047  14.8577627232
  61.444  14.5231539466  14.5736505568  14.7755116309  14.8467601423
  61.944  14.5119371254  14.5628173452  14.7646768972  14.8359246884
  62.444  14.5008988711  14.5521544988  14.7540075783  14.8252523073
  62.944  14.4900347794    14.54165712  14.7434993493  14.8147389448
  63.444  14.4793404458  14.5313203109  14.7331478851  14.8043805469
  63.944  14.4688114656  14.5211391736  14.7229488604  14.7941730595
  64.444  14.4584434346  14.5111088105  14.7128979504  14.7841124282
