,Unnamed: 0,Unnamed: 0.1,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,0,114,PS1-11qr,g,55629.3,-18.2,23.64,,PS1,2.59,-24.099999999998545
1,1,115,PS1-11qr,g,55632.3,-16.0,23.54,,PS1,2.4899999999999984,-21.099999999998545
2,2,116,PS1-11qr,g,55635.3,-13.7,23.3,,PS1,2.25,-18.099999999998545
3,3,117,PS1-11qr,g,55644.4,-6.8,21.83,,PS1,0.7799999999999976,-9.0
4,4,118,PS1-11qr,g,55650.4,-2.3,21.49,0.04,PS1,0.4399999999999977,-3.0
5,5,119,PS1-11qr,g,55653.4,0.0,21.05,0.03,PS1,0.0,0.0
6,6,120,PS1-11qr,g,55662.3,6.7,21.89,0.08,PS1,0.8399999999999999,8.900000000001455
7,7,121,PS1-11qr,g,55674.3,15.8,23.23,0.16,PS1,2.1799999999999997,20.900000000001455
8,8,122,PS1-11qr,g,55677.3,18.0,23.61,,PS1,2.5599999999999987,23.900000000001455
9,9,123,PS1-11qr,g,55680.3,20.3,23.35,,PS1,2.3000000000000007,26.900000000001455
10,10,124,PS1-11qr,r,55629.3,-18.2,23.74,,PS1,2.4299999999999997,-24.099999999998545
11,11,125,PS1-11qr,r,55632.3,-15.9,23.75,,PS1,2.4400000000000013,-21.099999999998545
12,12,126,PS1-11qr,r,55635.3,-13.7,23.94,,PS1,2.6300000000000026,-18.099999999998545
13,13,127,PS1-11qr,r,55650.4,-2.2,21.6,0.06,PS1,0.2900000000000027,-3.0
14,14,128,PS1-11qr,r,55653.4,0.0,21.31,0.06,PS1,0.0,0.0
15,15,129,PS1-11qr,r,55662.3,6.7,21.77,0.07,PS1,0.46000000000000085,8.900000000001455
16,16,130,PS1-11qr,r,55674.3,15.8,23.1,0.14,PS1,1.7900000000000027,20.900000000001455
17,17,131,PS1-11qr,r,55677.3,18.0,23.28,0.18,PS1,1.9700000000000024,23.900000000001455
18,18,132,PS1-11qr,i,55633.3,-15.2,24.02,,PS1,2.629999999999999,-21.0
19,19,133,PS1-11qr,i,55645.3,-6.1,23.99,,PS1,2.599999999999998,-9.0
20,20,134,PS1-11qr,i,55651.4,-1.5,21.73,0.09,PS1,0.33999999999999986,-2.900000000001455
21,21,135,PS1-11qr,i,55654.3,0.7,21.39,0.04,PS1,0.0,0.0
22,22,136,PS1-11qr,i,55672.3,14.3,23.21,0.14,PS1,1.8200000000000003,18.0
23,23,137,PS1-11qr,i,55675.3,16.5,23.53,0.18,PS1,2.1400000000000006,21.0
24,24,138,PS1-11qr,i,55681.3,21.1,24.01,0.34,PS1,2.620000000000001,27.0
25,25,139,PS1-11qr,z,55631.3,-16.7,23.35,,PS1,1.5700000000000003,-21.099999999998545
26,26,140,PS1-11qr,z,55634.3,-14.4,23.41,,PS1,1.629999999999999,-18.099999999998545
27,27,141,PS1-11qr,z,55646.3,-5.4,23.28,,PS1,1.5,-6.099999999998545
28,28,142,PS1-11qr,z,55649.4,-3.0,22.22,0.2,PS1,0.4399999999999977,-3.0
29,29,143,PS1-11qr,z,55652.4,-0.7,21.78,0.17,PS1,0.0,0.0
30,30,144,PS1-11qr,z,55673.3,15.0,22.92,0.26,PS1,1.1400000000000006,20.900000000001455
31,31,145,PS1-11qr,z,55676.3,17.3,22.86,,PS1,1.0799999999999983,23.900000000001455
