,Unnamed: 0,Unnamed: 0.1,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,0,188,PS1-12bb,g,55941.6,-5.4,23.65,,PS1,2.3200000000000003,-6.0
1,1,189,PS1-12bb,g,55947.6,0.0,21.33,0.03,PS1,0.0,0.0
2,2,190,PS1-12bb,g,55949.6,1.8,21.91,0.13,PS1,0.5800000000000018,2.0
3,3,191,PS1-12bb,g,55952.6,4.5,21.74,0.03,PS1,0.41000000000000014,5.0
4,4,192,PS1-12bb,g,55955.6,7.3,22.32,0.11,PS1,0.990000000000002,8.0
5,5,193,PS1-12bb,g,55970.5,20.8,23.6,,PS1,2.270000000000003,22.900000000001455
6,6,194,PS1-12bb,g,55973.5,23.6,24.02,,PS1,2.6900000000000013,25.900000000001455
7,7,195,PS1-12bb,g,55984.3,33.4,24.05,,PS1,2.7200000000000024,36.700000000004366
8,8,196,PS1-12bb,g,56000.5,48.1,23.83,,PS1,2.5,52.900000000001455
9,9,197,PS1-12bb,r,55941.6,-5.4,23.8,,PS1,2.5199999999999996,-6.0
10,10,198,PS1-12bb,r,55947.6,0.0,21.28,0.04,PS1,0.0,0.0
11,11,199,PS1-12bb,r,55948.4,0.8,21.38,0.07,PS1,0.09999999999999787,0.8000000000029104
12,12,200,PS1-12bb,r,55952.6,4.6,21.66,0.04,PS1,0.379999999999999,5.0
13,13,201,PS1-12bb,r,55955.6,7.3,21.64,0.06,PS1,0.35999999999999943,8.0
14,14,202,PS1-12bb,r,55970.5,20.9,23.87,,PS1,2.59,22.900000000001455
15,15,203,PS1-12bb,r,55973.5,23.6,24.2,,PS1,2.919999999999998,25.900000000001455
16,16,204,PS1-12bb,r,55984.3,33.4,24.07,,PS1,2.789999999999999,36.700000000004366
17,17,205,PS1-12bb,r,56000.5,48.1,23.77,,PS1,2.4899999999999984,52.900000000001455
18,18,206,PS1-12bb,i,55945.5,-1.8,21.12,0.02,PS1,0.0,0.0
19,19,207,PS1-12bb,i,55948.5,0.9,21.26,0.04,PS1,0.14000000000000057,3.0
20,20,208,PS1-12bb,i,55956.4,8.0,21.55,0.05,PS1,0.4299999999999997,10.900000000001455
21,21,209,PS1-12bb,i,55960.5,11.8,21.94,0.06,PS1,0.8200000000000003,15.0
22,22,210,PS1-12bb,i,55971.6,21.8,23.3,0.23,PS1,2.1799999999999997,26.099999999998545
23,23,211,PS1-12bb,i,55977.5,27.2,23.38,0.23,PS1,2.259999999999998,32.0
24,24,212,PS1-12bb,i,55985.4,34.3,24.26,0.32,PS1,3.1400000000000006,39.900000000001455
25,25,213,PS1-12bb,i,55979.5,29.0,23.51,,PS1,2.3900000000000006,34.0
26,26,214,PS1-12bb,i,55998.3,46.1,22.18,,PS1,1.0599999999999987,52.80000000000291
27,27,215,PS1-12bb,i,56001.5,49.0,23.62,,PS1,2.5,56.0
28,28,216,PS1-12bb,z,55931.5,-14.6,23.84,,PS1,2.59,-15.099999999998545
29,29,217,PS1-12bb,z,55935.5,-11.0,23.23,,PS1,1.9800000000000004,-11.099999999998545
30,30,218,PS1-12bb,z,55946.6,-0.9,21.25,0.04,PS1,0.0,0.0
31,31,219,PS1-12bb,z,55949.6,1.8,21.58,0.1,PS1,0.3299999999999983,3.0
32,32,220,PS1-12bb,z,55954.6,6.4,21.86,0.07,PS1,0.6099999999999994,8.0
33,33,221,PS1-12bb,z,55961.3,12.5,22.85,0.23,PS1,1.6000000000000014,14.700000000004366
34,34,222,PS1-12bb,z,55959.5,10.9,22.8,,PS1,1.5500000000000007,12.900000000001455
35,35,223,PS1-12bb,z,55969.5,19.9,23.8,,PS1,2.5500000000000007,22.900000000001455
36,36,224,PS1-12bb,z,55972.6,22.7,23.7,,PS1,2.4499999999999993,26.0
37,37,225,PS1-12bb,z,55983.3,32.5,22.99,,PS1,1.7399999999999984,36.700000000004366
38,38,226,PS1-12bb,z,55997.4,45.3,23.53,,PS1,2.280000000000001,50.80000000000291
39,39,227,PS1-12bb,z,55999.3,47.0,22.99,,PS1,1.7399999999999984,52.700000000004366
