,SN,band,jd,absmag,mag,error,survey
228,PS1-12bv,g,55947.6,-1.4,21.78,0.05,PS1
229,PS1-12bv,g,55949.6,0.0,21.69,0.05,PS1
230,PS1-12bv,g,55952.6,2.1,21.8,0.04,PS1
231,PS1-12bv,g,55955.7,4.3,22.03,0.07,PS1
232,PS1-12bv,g,55970.6,14.9,23.31,-99.9,PS1
233,PS1-12bv,g,55973.6,17.1,23.5,-99.9,PS1
234,PS1-12bv,g,55981.6,22.7,24.06,-99.9,PS1
235,PS1-12bv,g,55984.6,24.9,24.24,-99.9,PS1
236,PS1-12bv,g,56000.5,36.2,23.86,-99.9,PS1
237,PS1-12bv,g,56006.5,40.5,24.02,-99.9,PS1
238,PS1-12bv,r,55947.6,-1.4,21.87,0.05,PS1
239,PS1-12bv,r,55952.6,2.1,22.01,0.05,PS1
240,PS1-12bv,r,55970.6,15.0,23.41,-99.9,PS1
241,PS1-12bv,r,55973.6,17.1,23.49,-99.9,PS1
242,PS1-12bv,r,55977.6,19.9,22.87,-99.9,PS1
243,PS1-12bv,r,55981.6,22.8,23.58,-99.9,PS1
244,PS1-12bv,r,55984.6,24.9,23.99,-99.9,PS1
245,PS1-12bv,r,56000.5,36.2,24.21,-99.9,PS1
246,PS1-12bv,r,56006.5,40.5,23.68,-99.9,PS1
247,PS1-12bv,i,55939.6,-7.1,23.56,-99.9,PS1
248,PS1-12bv,i,55945.6,-2.8,22.53,0.06,PS1
249,PS1-12bv,i,55948.6,-0.7,22.08,0.06,PS1
250,PS1-12bv,i,55956.6,5.0,22.34,0.06,PS1
251,PS1-12bv,i,55960.7,7.8,22.91,0.1,PS1
252,PS1-12bv,i,55968.6,13.5,23.66,0.23,PS1
253,PS1-12bv,i,55971.6,15.7,23.76,0.3,PS1
254,PS1-12bv,i,55977.6,19.9,23.12,-99.9,PS1
255,PS1-12bv,i,55979.6,21.3,23.59,-99.9,PS1
256,PS1-12bv,i,55985.6,25.6,24.18,-99.9,PS1
257,PS1-12bv,i,55998.5,34.8,23.59,-99.9,PS1
258,PS1-12bv,i,56001.6,37.0,23.66,-99.9,PS1
259,PS1-12bv,i,56007.5,41.2,23.86,-99.9,PS1
260,PS1-12bv,z,55935.6,-10.0,23.83,-99.9,PS1
261,PS1-12bv,z,55940.6,-6.4,23.0,-99.9,PS1
262,PS1-12bv,z,55946.7,-2.1,22.57,0.18,PS1
263,PS1-12bv,z,55949.6,0.0,22.12,0.11,PS1
264,PS1-12bv,z,55951.6,1.4,22.19,0.08,PS1
265,PS1-12bv,z,55954.6,3.6,22.24,0.08,PS1
266,PS1-12bv,z,55957.6,5.7,22.73,0.09,PS1
267,PS1-12bv,z,55959.6,7.1,22.62,0.22,PS1
268,PS1-12bv,z,55961.7,8.6,22.8,0.23,PS1
269,PS1-12bv,z,55967.5,12.7,23.45,-99.9,PS1
270,PS1-12bv,z,55969.6,14.2,23.03,-99.9,PS1
271,PS1-12bv,z,55975.6,18.5,22.22,-99.9,PS1
272,PS1-12bv,z,55983.6,24.2,22.65,-99.9,PS1
273,PS1-12bv,z,55988.6,27.7,23.39,-99.9,PS1
274,PS1-12bv,z,55997.5,34.1,22.96,-99.9,PS1
275,PS1-12bv,z,56002.6,37.7,23.35,-99.9,PS1
276,PS1-12bv,z,56005.6,39.8,23.44,-99.9,PS1
