,Unnamed: 0,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,492,PS1-13cgt,g,56475.4,,24.05,,PS1,2.2300000000000004,-13.900000000001455
1,493,PS1-13cgt,g,56478.3,,24.27,,PS1,2.4499999999999993,-11.0
2,494,PS1-13cgt,g,56480.4,,24.2,,PS1,2.379999999999999,-8.900000000001455
3,495,PS1-13cgt,g,56486.3,,21.85,0.05,PS1,0.030000000000001137,-3.0
4,496,PS1-13cgt,g,56489.3,,21.82,0.07,PS1,0.0,0.0
5,497,PS1-13cgt,g,56501.4,,23.06,0.21,PS1,1.2399999999999984,12.099999999998545
6,498,PS1-13cgt,g,56507.3,,24.15,,PS1,2.3299999999999983,18.0
7,499,PS1-13cgt,g,56512.3,,23.92,,PS1,2.1000000000000014,23.0
8,500,PS1-13cgt,r,56475.4,,24.33,,PS1,24.33,56475.4
9,501,PS1-13cgt,r,56478.3,,24.14,,PS1,24.14,56478.3
10,502,PS1-13cgt,r,56479.4,,24.3,,PS1,24.3,56479.4
11,503,PS1-13cgt,r,56486.3,,22.03,0.05,PS1,22.03,56486.3
12,504,PS1-13cgt,r,56489.3,,22.03,0.08,PS1,22.03,56489.3
13,505,PS1-13cgt,r,56501.4,,23.46,,PS1,23.46,56501.4
14,506,PS1-13cgt,r,56507.3,,23.27,0.19,PS1,23.27,56507.3
15,507,PS1-13cgt,r,56508.3,,23.38,0.13,PS1,23.38,56508.3
16,508,PS1-13cgt,r,56512.3,,23.4,0.22,PS1,23.4,56512.3
17,509,PS1-13cgt,i,56473.4,,24.05,,PS1,2.0500000000000007,-13.900000000001455
18,510,PS1-13cgt,i,56476.4,,24.03,,PS1,2.030000000000001,-10.900000000001455
19,511,PS1-13cgt,i,56479.3,,24.44,,PS1,2.4400000000000013,-8.0
20,512,PS1-13cgt,i,56481.3,,23.46,,PS1,1.4600000000000009,-6.0
21,513,PS1-13cgt,i,56487.3,,22.0,0.05,PS1,0.0,0.0
22,514,PS1-13cgt,i,56491.3,,22.13,0.06,PS1,0.129999999999999,4.0
23,515,PS1-13cgt,i,56499.3,,22.54,,PS1,0.5399999999999991,12.0
24,516,PS1-13cgt,i,56502.3,,22.68,0.13,PS1,0.6799999999999997,15.0
25,517,PS1-13cgt,i,56505.4,,22.66,,PS1,0.6600000000000001,18.099999999998545
26,518,PS1-13cgt,i,56508.3,,23.25,0.15,PS1,1.25,21.0
27,519,PS1-13cgt,i,56513.3,,23.39,0.15,PS1,1.3900000000000006,26.0
28,520,PS1-13cgt,i,56516.3,,23.82,,PS1,1.8200000000000003,29.0
29,521,PS1-13cgt,i,56520.3,,23.84,0.32,PS1,1.8399999999999999,33.0
30,522,PS1-13cgt,z,56477.3,,23.98,,PS1,2.2699999999999996,-13.0
31,523,PS1-13cgt,z,56480.4,,23.62,,PS1,1.9100000000000001,-9.900000000001455
32,524,PS1-13cgt,z,56482.3,,23.01,,PS1,1.3000000000000007,-8.0
33,525,PS1-13cgt,z,56485.3,,22.11,0.18,PS1,0.3999999999999986,-5.0
34,526,PS1-13cgt,z,56488.3,,21.98,0.07,PS1,0.2699999999999996,-2.0
35,527,PS1-13cgt,z,56490.3,,21.71,0.09,PS1,0.0,0.0
36,528,PS1-13cgt,z,56492.4,,22.08,0.09,PS1,0.36999999999999744,2.099999999998545
37,529,PS1-13cgt,z,56498.4,,22.19,0.15,PS1,0.4800000000000004,8.099999999998545
38,530,PS1-13cgt,z,56506.3,,23.25,0.28,PS1,1.5399999999999991,16.0
39,531,PS1-13cgt,z,56511.3,,23.27,0.26,PS1,1.5599999999999987,21.0
40,532,PS1-13cgt,z,56517.3,,23.88,,PS1,2.169999999999998,27.0
41,533,PS1-13cgt,z,56519.3,,23.58,,PS1,1.8699999999999974,29.0
42,534,PS1-13cgt,z,56525.3,,23.33,,PS1,1.6199999999999974,35.0
