,SN,band,jd,absmag,mag,error,survey
332,PS1-13ess,g,56619.4,-24.1,23.89,-99.9,PS1
333,PS1-13ess,g,56625.6,-19.1,23.87,-99.9,PS1
334,PS1-13ess,g,56629.3,-16.1,23.6,-99.9,PS1
335,PS1-13ess,g,56633.0,-13.1,22.72,-99.9,PS1
336,PS1-13ess,g,56649.4,0.0,22.02,0.12,PS1
337,PS1-13ess,g,56653.1,3.0,22.4,0.1,PS1
338,PS1-13ess,g,56656.8,6.0,23.04,0.22,PS1
339,PS1-13ess,g,56666.8,14.0,22.98,-99.9,PS1
340,PS1-13ess,r,56623.5,-20.8,23.68,-99.9,PS1
341,PS1-13ess,r,56626.2,-18.6,23.97,-99.9,PS1
342,PS1-13ess,r,56627.2,-17.8,22.82,-99.9,PS1
343,PS1-13ess,r,56631.0,-14.7,24.05,-99.9,PS1
344,PS1-13ess,r,56633.9,-12.4,23.77,-99.9,PS1
345,PS1-13ess,r,56636.8,-10.1,23.1,-99.9,PS1
346,PS1-13ess,r,56649.4,0.0,22.25,0.17,PS1
347,PS1-13ess,r,56655.1,4.6,22.68,0.19,PS1
348,PS1-13ess,r,56656.1,5.4,22.97,0.16,PS1
349,PS1-13ess,r,56662.8,10.8,23.23,0.35,PS1
350,PS1-13ess,r,56664.0,11.6,23.07,0.15,IMACS
351,PS1-13ess,i,56624.3,-20.1,24.04,-99.9,PS1
352,PS1-13ess,i,56627.2,-17.8,23.65,-99.9,PS1
353,PS1-13ess,i,56632.0,-14.0,23.99,-99.9,PS1
354,PS1-13ess,i,56656.1,5.4,22.96,0.12,PS1
355,PS1-13ess,i,56660.8,9.2,23.68,-99.9,PS1
356,PS1-13ess,i,56676.2,21.6,22.72,0.13,PS1
357,PS1-13ess,z,56622.5,-21.6,23.51,-99.9,PS1
358,PS1-13ess,z,56625.2,-19.4,23.28,-99.9,PS1
359,PS1-13ess,z,56630.1,-15.5,23.29,-99.9,PS1
360,PS1-13ess,z,56632.9,-13.2,23.39,-99.9,PS1
361,PS1-13ess,z,56643.5,-4.7,23.03,-99.9,PS1
362,PS1-13ess,z,56648.4,-0.8,22.36,0.19,PS1
363,PS1-13ess,z,56651.3,1.5,22.67,0.29,PS1
364,PS1-13ess,z,56661.8,10.0,23.13,0.27,PS1
