,Unnamed: 0,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,332,PS1-13ess,g,56619.4,-24.1,23.89,,PS1,1.870000000000001,-30.0
1,333,PS1-13ess,g,56625.6,-19.1,23.87,,PS1,1.8500000000000014,-23.80000000000291
2,334,PS1-13ess,g,56629.3,-16.1,23.6,,PS1,1.5800000000000018,-20.099999999998545
3,335,PS1-13ess,g,56633.0,-13.1,22.72,,PS1,0.6999999999999993,-16.400000000001455
4,336,PS1-13ess,g,56649.4,0.0,22.02,0.12,PS1,0.0,0.0
5,337,PS1-13ess,g,56653.1,3.0,22.4,0.1,PS1,0.379999999999999,3.6999999999970896
6,338,PS1-13ess,g,56656.8,6.0,23.04,0.22,PS1,1.0199999999999996,7.400000000001455
7,339,PS1-13ess,g,56666.8,14.0,22.98,,PS1,0.9600000000000009,17.400000000001455
8,340,PS1-13ess,r,56623.5,-20.8,23.68,,PS1,1.4299999999999997,-25.900000000001455
9,341,PS1-13ess,r,56626.2,-18.6,23.97,,PS1,1.7199999999999989,-23.200000000004366
10,342,PS1-13ess,r,56627.2,-17.8,22.82,,PS1,0.5700000000000003,-22.200000000004366
11,343,PS1-13ess,r,56631.0,-14.7,24.05,,PS1,1.8000000000000007,-18.400000000001455
12,344,PS1-13ess,r,56633.9,-12.4,23.77,,PS1,1.5199999999999996,-15.5
13,345,PS1-13ess,r,56636.8,-10.1,23.1,,PS1,0.8500000000000014,-12.599999999998545
14,346,PS1-13ess,r,56649.4,0.0,22.25,0.17,PS1,0.0,0.0
15,347,PS1-13ess,r,56655.1,4.6,22.68,0.19,PS1,0.4299999999999997,5.69999999999709
16,348,PS1-13ess,r,56656.1,5.4,22.97,0.16,PS1,0.7199999999999989,6.69999999999709
17,349,PS1-13ess,r,56662.8,10.8,23.23,0.35,PS1,0.9800000000000004,13.400000000001455
18,350,PS1-13ess,r,56664.0,11.6,23.07,0.15,IMACS,0.8200000000000003,14.599999999998545
19,351,PS1-13ess,i,56624.3,-20.1,24.04,,PS1,1.3200000000000003,-51.89999999999418
20,352,PS1-13ess,i,56627.2,-17.8,23.65,,PS1,0.9299999999999997,-49.0
21,353,PS1-13ess,i,56632.0,-14.0,23.99,,PS1,1.2699999999999996,-44.19999999999709
22,354,PS1-13ess,i,56656.1,5.4,22.96,0.12,PS1,0.240000000000002,-20.099999999998545
23,355,PS1-13ess,i,56660.8,9.2,23.68,,PS1,0.9600000000000009,-15.39999999999418
24,356,PS1-13ess,i,56676.2,21.6,22.72,0.13,PS1,0.0,0.0
25,357,PS1-13ess,z,56622.5,-21.6,23.51,,PS1,1.1500000000000021,-25.900000000001455
26,358,PS1-13ess,z,56625.2,-19.4,23.28,,PS1,0.9200000000000017,-23.200000000004366
27,359,PS1-13ess,z,56630.1,-15.5,23.29,,PS1,0.9299999999999997,-18.30000000000291
28,360,PS1-13ess,z,56632.9,-13.2,23.39,,PS1,1.0300000000000011,-15.5
29,361,PS1-13ess,z,56643.5,-4.7,23.03,,PS1,0.6700000000000017,-4.900000000001455
30,362,PS1-13ess,z,56648.4,-0.8,22.36,0.19,PS1,0.0,0.0
31,363,PS1-13ess,z,56651.3,1.5,22.67,0.29,PS1,0.3100000000000023,2.900000000001455
32,364,PS1-13ess,z,56661.8,10.0,23.13,0.27,PS1,0.7699999999999996,13.400000000001455
