,SN,absmag,band,error,jd,mag,survey
0,iPTF16asu.json,,g,0.13,57519.26,20.43,P48
1,iPTF16asu.json,,g,0.12,57520.25,19.8,P48
2,iPTF16asu.json,,g,0.08,57520.28,19.69,P48
3,iPTF16asu.json,,g,0.09,57521.26,19.34,P48
4,iPTF16asu.json,,g,0.09,57521.29,19.25,P48
5,iPTF16asu.json,,g,0.09,57521.32,19.28,P48
6,iPTF16asu.json,,g,0.09,57525.40,19.38,P60
7,iPTF16asu.json,,i,0.14,57525.40,19.57,P60
8,iPTF16asu.json,,B,0.2,57527.29,19.45,Swift
9,iPTF16asu.json,,M2,0.14,57527.29,21.27,Swift
10,iPTF16asu.json,,W1,0.14,57527.29,20.52,Swift
11,iPTF16asu.json,,W2,0.19,57527.29,21.8,Swift
12,iPTF16asu.json,,u,0.14,57527.29,19.6,Swift
13,iPTF16asu.json,,i,0.07,57527.33,19.66,P60
14,iPTF16asu.json,,r,0.09,57527.33,19.6,P60
15,iPTF16asu.json,,g,0.07,57527.34,19.51,P60
16,iPTF16asu.json,,r,0.07,57535.32,20.19,P60
17,iPTF16asu.json,,g,0.09,57535.33,20.43,P60
18,iPTF16asu.json,,i,0.05,57535.33,19.87,P60
19,iPTF16asu.json,,i,0.05,57538.33,20.09,P60
20,iPTF16asu.json,,g,0.05,57538.34,20.87,P60
21,iPTF16asu.json,,r,0.04,57540.27,20.34,P60
22,iPTF16asu.json,,i,0.06,57540.28,20.29,P60
23,iPTF16asu.json,,g,0.07,57540.30,21.01,P60
24,iPTF16asu.json,,r,0.07,57541.18,20.36,P60
25,iPTF16asu.json,,r,0.12,57541.18,20.4,P60
26,iPTF16asu.json,,r,0.05,57544.19,20.55,P60
27,iPTF16asu.json,,i,0.05,57544.20,20.46,P60
28,iPTF16asu.json,,g,0.08,57544.21,21.49,P60
29,iPTF16asu.json,,i,0.05,57544.21,20.43,P60
30,iPTF16asu.json,,r,0.04,57544.25,20.55,P60
31,iPTF16asu.json,,i,0.06,57544.26,20.43,P60
32,iPTF16asu.json,,r,0.03,57544.26,20.37,P60
33,iPTF16asu.json,,r,0.09,57545.23,20.61,P60
34,iPTF16asu.json,,r,0.07,57545.23,20.65,P60
35,iPTF16asu.json,,i,0.11,57545.24,20.48,P60
36,iPTF16asu.json,,g,0.11,57545.25,21.48,P60
37,iPTF16asu.json,,i,0.1,57545.25,20.46,P60
38,iPTF16asu.json,,g,0.09,57545.26,21.14,P60
39,iPTF16asu.json,,i,0.08,57546.29,20.68,P60
40,iPTF16asu.json,,r,0.05,57546.29,20.64,P60
41,iPTF16asu.json,,g,0.13,57546.31,21.69,P60
42,iPTF16asu.json,,r,0.13,57551.32,20.89,P60
43,iPTF16asu.json,,r,0.15,57554.24,21.09,P60
44,iPTF16asu.json,,i,0.16,57554.25,20.82,P60
45,iPTF16asu.json,,r,0.12,57554.25,21.0,P60
46,iPTF16asu.json,,i,0.12,57554.26,20.73,P60
47,iPTF16asu.json,,r,0.2,57570.22,21.73,P60
48,iPTF16asu.json,,r,0.14,57573.21,22.06,P60
49,iPTF16asu.json,,i,0.16,57587.89,23.07,TNG
50,iPTF16asu.json,,r,0.15,57587.90,23.01,TNG
