,Unnamed: 0,SN,absmag,band,error,jd,mag,survey,normmag,trel
0,0,iPTF16asu.json,,g,0.13,57519.26,20.43,P48,1.1799999999999997,-2.029999999998836
1,1,iPTF16asu.json,,g,0.12,57520.25,19.8,P48,0.5500000000000007,-1.0400000000008731
2,2,iPTF16asu.json,,g,0.08,57520.28,19.69,P48,0.4400000000000013,-1.0100000000020373
3,3,iPTF16asu.json,,g,0.09,57521.26,19.34,P48,0.08999999999999986,-0.029999999998835847
4,4,iPTF16asu.json,,g,0.09,57521.29,19.25,P48,0.0,0.0
5,5,iPTF16asu.json,,g,0.09,57521.32,19.28,P48,0.030000000000001137,0.029999999998835847
6,6,iPTF16asu.json,,g,0.09,57525.4,19.38,P60,0.129999999999999,4.110000000000582
7,7,iPTF16asu.json,,i,0.14,57525.4,19.57,P60,0.0,0.0
8,8,iPTF16asu.json,,B,0.2,57527.29,19.45,Swift,0.0,0.0
9,9,iPTF16asu.json,,M2,0.14,57527.29,21.27,Swift,0.0,0.0
10,10,iPTF16asu.json,,W1,0.14,57527.29,20.52,Swift,0.0,0.0
11,11,iPTF16asu.json,,W2,0.19,57527.29,21.8,Swift,0.0,0.0
12,12,iPTF16asu.json,,u,0.14,57527.29,19.6,Swift,0.0,0.0
13,13,iPTF16asu.json,,i,0.07,57527.33,19.66,P60,0.08999999999999986,1.930000000000291
14,14,iPTF16asu.json,,r,0.09,57527.33,19.6,P60,0.0,0.0
15,15,iPTF16asu.json,,g,0.07,57527.34,19.51,P60,0.26000000000000156,6.049999999995634
16,16,iPTF16asu.json,,r,0.07,57535.32,20.19,P60,0.5899999999999999,7.989999999997963
17,17,iPTF16asu.json,,g,0.09,57535.33,20.43,P60,1.1799999999999997,14.040000000000873
18,18,iPTF16asu.json,,i,0.05,57535.33,19.87,P60,0.3000000000000007,9.930000000000291
19,19,iPTF16asu.json,,i,0.05,57538.33,20.09,P60,0.5199999999999996,12.930000000000291
20,20,iPTF16asu.json,,g,0.05,57538.34,20.87,P60,1.620000000000001,17.049999999995634
21,21,iPTF16asu.json,,r,0.04,57540.27,20.34,P60,0.7399999999999984,12.939999999995052
22,22,iPTF16asu.json,,i,0.06,57540.28,20.29,P60,0.7199999999999989,14.87999999999738
23,23,iPTF16asu.json,,g,0.07,57540.3,21.01,P60,1.7600000000000016,19.010000000002037
24,24,iPTF16asu.json,,r,0.07,57541.18,20.36,P60,0.759999999999998,13.849999999998545
25,25,iPTF16asu.json,,r,0.12,57541.18,20.4,P60,0.7999999999999972,13.849999999998545
26,26,iPTF16asu.json,,r,0.05,57544.19,20.55,P60,0.9499999999999993,16.860000000000582
27,27,iPTF16asu.json,,i,0.05,57544.2,20.46,P60,0.8900000000000006,18.799999999995634
28,28,iPTF16asu.json,,g,0.08,57544.21,21.49,P60,2.2399999999999984,22.919999999998254
29,29,iPTF16asu.json,,i,0.05,57544.21,20.43,P60,0.8599999999999994,18.80999999999767
30,30,iPTF16asu.json,,r,0.04,57544.25,20.55,P60,0.9499999999999993,16.919999999998254
31,31,iPTF16asu.json,,i,0.06,57544.26,20.43,P60,0.8599999999999994,18.860000000000582
32,32,iPTF16asu.json,,r,0.03,57544.26,20.37,P60,0.7699999999999996,16.93000000000029
33,33,iPTF16asu.json,,r,0.09,57545.23,20.61,P60,1.009999999999998,17.900000000001455
34,34,iPTF16asu.json,,r,0.07,57545.23,20.65,P60,1.0499999999999972,17.900000000001455
35,35,iPTF16asu.json,,i,0.11,57545.24,20.48,P60,0.9100000000000001,19.839999999996508
36,36,iPTF16asu.json,,g,0.11,57545.25,21.48,P60,2.2300000000000004,23.959999999999127
37,37,iPTF16asu.json,,i,0.1,57545.25,20.46,P60,0.8900000000000006,19.849999999998545
38,38,iPTF16asu.json,,g,0.09,57545.26,21.14,P60,1.8900000000000006,23.970000000001164
39,39,iPTF16asu.json,,i,0.08,57546.29,20.68,P60,1.1099999999999994,20.889999999999418
40,40,iPTF16asu.json,,r,0.05,57546.29,20.64,P60,1.0399999999999991,18.959999999999127
41,41,iPTF16asu.json,,g,0.13,57546.31,21.69,P60,2.4400000000000013,25.0199999999968
42,42,iPTF16asu.json,,r,0.13,57551.32,20.89,P60,1.2899999999999991,23.989999999997963
43,43,iPTF16asu.json,,r,0.15,57554.24,21.09,P60,1.4899999999999984,26.909999999996217
44,44,iPTF16asu.json,,i,0.16,57554.25,20.82,P60,1.25,28.849999999998545
45,45,iPTF16asu.json,,r,0.12,57554.25,21.0,P60,1.3999999999999986,26.919999999998254
46,46,iPTF16asu.json,,i,0.12,57554.26,20.73,P60,1.1600000000000001,28.860000000000582
47,47,iPTF16asu.json,,r,0.2,57570.22,21.73,P60,2.129999999999999,42.88999999999942
48,48,iPTF16asu.json,,r,0.14,57573.21,22.06,P60,2.4599999999999973,45.87999999999738
49,49,iPTF16asu.json,,i,0.16,57587.89,23.07,TNG,3.5,62.48999999999796
50,50,iPTF16asu.json,,r,0.15,57587.9,23.01,TNG,3.41,60.56999999999971
