#Combined snIa Template with 6ms Kasen Models
#Days 	 g-band MS 	 r-band MS 	 i-band
-1.24784735812	4.26811143323	5.31302876163	5.69450729155 
-1.1	4.32728127457	5.45587161537	5.82294656133 
-1.0	4.39446849804	5.72039398245	6.01470462886 
-0.9	4.45324354094	6.11034626828	6.23920484087 
-0.8	4.51009111445	6.49464461468	6.51086964449 
-0.7	4.61413919314	6.81602580751	6.86042094861 
-0.6	4.78965551886	7.08089019672	7.24542415773 
-0.5	5.03546140943	7.279438368	7.55437640851 
-0.4	5.31387702424	7.40466221049	7.7098776256 
-0.3	5.57704025274	7.49256519985	7.78078279816 
-0.2	5.82438317968	7.59907929824	7.80753976858 
-0.1	6.05489373248	7.72506924132	7.81628861568 
-1.33226762955e-15	6.2000187023	7.85814572548	7.82700377061 
0.1	6.20570004929	7.97652856446	7.84978043599 
0.2	6.08342322836	8.03850382374	7.8469700962 
0.3	5.88219582184	8.06119616264	7.82202967445 
0.4	5.69895973469	8.08597112369	7.79696343727 
0.474266144814	5.58491022844	8.12930919608	7.79870810062 
0.5	5.54768124063	8.14432620931	7.79931264142 
0.6	5.3811620765	8.19419084899	7.82603244755 
0.7	5.15489678802	8.18327720012	7.79552237559 
0.8	4.89095046953	8.08874793745	7.71410947586 
0.9	4.65491430052	7.91884614492	7.65021037378 
1.0	4.45066683568	7.74693317261	7.60611196234 
1.1	4.2689793844	7.62018099729	7.59668398498 
1.2	4.11287127488	7.54444937165	7.61875182882 
1.3	3.98014078002	7.52538039748	7.65153378599 
1.4	3.86584248943	7.5597455861	7.68416185222 
1.5	3.76923372795	7.62071646672	7.68437786721 
1.6	3.68492460669	7.67506635544	7.62676259551 
1.7	3.6069846417	7.70798888769	7.53186466127 
1.76585127202	3.56508702028	7.72312911719	7.48601076632 
1.8	3.54214441763	7.73594908799	7.46638797263 
1.9	3.49139962006	7.76830214534	7.51021930487 
2.0	3.45628639756	7.81386291816	7.63737013707 
2.1	3.42648611394	7.88181049207	7.80901088225 
2.2	3.40664594674	7.98110466311	7.97649901339 
2.3	3.41472650567	8.10555694039	8.11859748635 
2.4	3.44425775039	8.2429615864	8.23229905088 
2.5	3.47940299581	8.37601749529	8.33542730836 
2.6	3.51443101941	8.49694454017	8.46756662028 
2.7	3.54900428017	8.60320087136	8.66586990685 
2.8	3.57365761126	8.69512568705	8.92263493532 
2.84217221135	3.58061662562	8.73340842729	9.03693888482 
2.9	3.60508327521	8.78590285763	9.19367585502 
3.0	3.64854368399	8.88741901921	9.43540807992 
3.1	3.69834804034	9.01286345893	9.61635814475 
3.2	3.74469268939	9.16518915424	9.74347459255 
