time,band,flux,fluxerr,zp,zpsys,mag
-23.900000000000002,desr,17070605.741464853,4135.815000360745,50.0,ab,9.236439900748863
-23.8,desr,25606080.99749037,5063.718848417005,50.0,ab,8.796204443690314
-23.700000000000003,desr,34150299.48448794,5846.155269441439,50.0,ab,8.483575939438811
-23.6,desr,42680539.82706575,6535.580639317564,50.0,ab,8.241487471546375
-23.5,desr,51217367.41249888,7158.917316998938,50.0,ab,8.043519101387123
-23.400000000000002,desr,59765156.55844158,7732.1652860134545,50.0,ab,7.875942077241078
-23.3,desr,68293950.0360256,8265.75240790796,50.0,ab,7.731106649771046
-23.200000000000003,desr,76841081.15507613,8766.923390074793,50.0,ab,7.6030785640923
-23.1,desr,85374516.25942037,9240.95387858013,50.0,ab,7.488741591146276
-23.0,desr,93900667.39119537,9691.82704368219,50.0,ab,7.385390533524738
-22.900000000000002,desr,102435996.71478784,10122.637714709252,50.0,ab,7.290930737164551
-22.8,desr,110953870.10886899,10535.847244614853,50.0,ab,7.204206093067299
-22.700000000000003,desr,119513108.77265814,10933.587312332933,50.0,ab,7.123523372485764
-22.6,desr,138303954.46617213,11762.291667782643,50.0,ab,6.964975736286529
-22.5,desr,158481068.79157394,12589.907919061503,50.0,ab,6.817118752474034
-22.400000000000002,desr,179983244.94008818,13416.896204561577,50.0,ab,6.678982037249529
-22.3,desr,202847323.5229796,14243.609661486278,50.0,ab,6.549139026591202
-22.200000000000003,desr,227073274.31615376,15070.323902791919,50.0,ab,6.426647175060868
-22.1,desr,252692039.56789702,15897.257205348636,50.0,ab,6.310583329068457
-22.0,desr,279685672.293126,16724.584670263903,50.0,ab,6.2003866836188735
-21.900000000000002,desr,308079225.313087,17552.448364963493,50.0,ab,6.095406197117395
-21.8,desr,337860841.95516765,18380.964722746732,50.0,ab,5.995217581008607
-21.700000000000003,desr,368996877.12433195,19210.23003104007,50.0,ab,5.899505504308433
-21.6,desr,401576908.2276666,20040.324562610076,50.0,ab,5.807640401666102
-21.5,desr,435582706.4152446,20871.315727018587,50.0,ab,5.719385658530896
-21.400000000000002,desr,470989109.9607389,21703.260503944857,50.0,ab,5.6345350668833625
-21.3,desr,507849571.48228705,22536.207342863923,50.0,ab,5.552724505158839
-21.200000000000003,desr,544946570.9680822,23346.08806738491,50.0,ab,5.4761774205865095
-21.1,desr,581727365.9432957,24119.002800733702,50.0,ab,5.405263494491745
-21.0,desr,618393114.338565,24868.69254938375,50.0,ab,5.338900618070863
-20.900000000000002,desr,655671043.166431,25607.193728562146,50.0,ab,5.275347220857768
-20.8,desr,694026016.0160443,26345.163204484368,50.0,ab,5.2136228545704455
-20.700000000000003,desr,734001124.8014185,27092.092084818454,50.0,ab,5.1528204173969705
-20.6,desr,775960943.363268,27856.44776342302,50.0,ab,5.092462575109238
-20.5,desr,820528057.3264736,28645.769901036147,50.0,ab,5.031828640974503
-20.400000000000002,desr,868237238.4482514,29466.737701563823,50.0,ab,4.9704662093249325
-20.3,desr,919620481.9525244,30325.22049722607,50.0,ab,4.908040642523215
-20.200000000000003,desr,974997024.0125927,31226.319973398302,50.0,ab,4.84455400574301
-20.1,desr,1035091223.812607,32174.409659850626,50.0,ab,4.779615665083625
-20.0,desr,1100442916.9079292,33173.17523846615,50.0,ab,4.713143432526476
-19.900000000000002,desr,1171323984.785001,34225.657597297264,50.0,ab,4.645369640320531
-19.8,desr,1244683210.5639768,35280.47002269202,50.0,ab,4.579415152439079
-19.700000000000003,desr,1317463356.8701382,36298.10839858551,50.0,ab,4.517715868876788
-19.6,desr,1391049854.5151505,37297.22202769686,50.0,ab,4.458705493089781
-19.5,desr,1466395927.4544272,38294.45999307628,50.0,ab,4.4014341164667705
-19.400000000000002,desr,1544786820.939205,39304.77282703956,50.0,ab,4.344890841785528
-19.3,desr,1627405231.1527207,40341.604846493276,50.0,ab,4.288322961838055
-19.200000000000003,desr,1715358478.7920241,41417.016045501194,50.0,ab,4.231174997175135
-19.1,desr,1809717572.8749285,42541.76047942721,50.0,ab,4.173035222156486
-19.0,desr,1911870822.0436847,43725.34035834685,50.0,ab,4.113415867800967
-18.900000000000002,desr,2022854618.1520834,44976.04963246505,50.0,ab,4.052150552744504
-18.8,desr,2143731282.8894413,46301.01668528154,50.0,ab,3.989136367149264
-18.700000000000003,desr,2275912088.8259687,47706.25235999201,50.0,ab,3.9241735243821445
-18.6,desr,2420292372.918441,49196.70673034164,50.0,ab,3.8573926504724696
-18.5,desr,2578185546.972207,50776.33573678216,50.0,ab,3.788776807330507
