,Unnamed: 0,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,0,PS1-10ah,g,55230.5,-19.5,22.38,,PS1,2.4299999999999997,-20.900000000001455
1,1,PS1-10ah,g,55233.5,-16.7,22.6,,PS1,2.650000000000002,-17.900000000001455
2,2,PS1-10ah,g,55236.6,-13.8,22.4,,PS1,2.4499999999999993,-14.80000000000291
3,3,PS1-10ah,g,55239.5,-11.1,22.75,,PS1,2.8000000000000007,-11.900000000001455
4,4,PS1-10ah,g,55242.5,-8.3,22.7,,PS1,2.75,-8.900000000001455
5,5,PS1-10ah,g,55248.5,-2.7,22.18,0.22,PS1,2.2300000000000004,-2.900000000001455
6,6,PS1-10ah,g,55251.4,0.0,19.95,0.05,PS1,0.0,0.0
7,7,PS1-10ah,g,55266.5,14.1,21.64,0.17,PS1,1.6900000000000013,15.099999999998545
8,8,PS1-10ah,g,55281.3,27.8,22.02,,PS1,2.0700000000000003,29.900000000001455
9,9,PS1-10ah,g,55293.4,39.1,22.26,,PS1,2.3100000000000023,42.0
10,10,PS1-10ah,g,55305.3,50.2,22.58,,PS1,2.629999999999999,53.900000000001455
11,11,PS1-10ah,g,55320.4,64.2,22.56,,PS1,2.6099999999999994,69.0
12,12,PS1-10ah,g,55326.3,69.7,22.82,,PS1,2.870000000000001,74.90000000000146
13,13,PS1-10ah,g,55329.3,72.6,22.7,,PS1,2.75,77.90000000000146
14,14,PS1-10ah,g,55332.3,75.3,22.73,,PS1,2.780000000000001,80.90000000000146
15,15,PS1-10ah,g,55338.3,80.9,21.73,,PS1,1.7800000000000011,86.90000000000146
16,16,PS1-10ah,g,55350.3,92.0,22.74,,PS1,2.789999999999999,98.90000000000146
17,17,PS1-10ah,g,55353.3,94.9,22.75,,PS1,2.8000000000000007,101.90000000000146
18,18,PS1-10ah,r,55230.5,-19.5,22.43,,PS1,2.280000000000001,-20.900000000001455
19,19,PS1-10ah,r,55233.5,-16.7,22.94,,PS1,2.7900000000000027,-17.900000000001455
20,20,PS1-10ah,r,55236.6,-13.8,22.98,,PS1,2.830000000000002,-14.80000000000291
21,21,PS1-10ah,r,55239.5,-11.1,23.27,,PS1,3.120000000000001,-11.900000000001455
22,22,PS1-10ah,r,55242.5,-8.3,23.28,,PS1,3.1300000000000026,-8.900000000001455
23,23,PS1-10ah,r,55248.5,-2.7,22.17,0.12,PS1,2.020000000000003,-2.900000000001455
24,24,PS1-10ah,r,55251.4,0.0,20.15,0.04,PS1,0.0,0.0
25,25,PS1-10ah,r,55266.5,14.1,21.59,0.16,PS1,1.4400000000000013,15.099999999998545
26,26,PS1-10ah,r,55275.5,22.4,21.4,0.07,PS1,1.25,24.099999999998545
27,27,PS1-10ah,r,55281.3,27.8,22.04,0.28,PS1,1.8900000000000006,29.900000000001455
28,28,PS1-10ah,r,55305.3,50.2,22.99,,PS1,2.84,53.900000000001455
29,29,PS1-10ah,r,55320.4,64.2,22.91,,PS1,2.7600000000000016,69.0
30,30,PS1-10ah,r,55326.3,69.7,23.19,0.35,PS1,3.0400000000000027,74.90000000000146
31,31,PS1-10ah,r,55329.3,72.6,22.85,,PS1,2.700000000000003,77.90000000000146
32,32,PS1-10ah,r,55350.3,92.1,23.04,,PS1,2.8900000000000006,98.90000000000146
33,33,PS1-10ah,i,55231.5,-18.6,22.91,,PS1,2.3500000000000014,-18.0
34,34,PS1-10ah,i,55234.5,-15.7,23.18,,PS1,2.620000000000001,-15.0
35,35,PS1-10ah,i,55240.5,-10.2,23.07,,PS1,2.5100000000000016,-9.0
36,36,PS1-10ah,i,55243.4,-7.5,23.06,,PS1,2.5,-6.099999999998545
37,37,PS1-10ah,i,55246.4,-4.6,23.08,,PS1,2.5199999999999996,-3.099999999998545
38,38,PS1-10ah,i,55249.5,-1.8,20.56,0.05,PS1,0.0,0.0
39,39,PS1-10ah,i,55252.5,1.0,20.66,0.05,PS1,0.10000000000000142,3.0
40,40,PS1-10ah,i,55264.5,12.2,21.58,0.12,PS1,1.0199999999999996,15.0
41,41,PS1-10ah,i,55288.4,34.5,21.87,0.16,PS1,1.3100000000000023,38.900000000001455
42,42,PS1-10ah,i,55330.3,73.4,22.65,0.27,PS1,2.09,80.80000000000291
43,43,PS1-10ah,i,55339.3,81.8,21.94,,PS1,1.3800000000000026,89.80000000000291
44,44,PS1-10ah,i,55348.3,90.2,22.99,,PS1,2.4299999999999997,98.80000000000291
45,45,PS1-10ah,z,55235.6,-14.8,22.71,,PS1,2.3100000000000023,-15.0
46,46,PS1-10ah,z,55238.5,-12.0,22.87,,PS1,2.4700000000000024,-12.099999999998545
47,47,PS1-10ah,z,55241.4,-9.3,22.75,,PS1,2.3500000000000014,-9.19999999999709
48,48,PS1-10ah,z,55250.6,-0.8,20.4,0.04,PS1,0.0,0.0
49,49,PS1-10ah,z,55259.5,7.5,21.5,0.15,PS1,1.1000000000000014,8.900000000001455
50,50,PS1-10ah,z,55280.3,26.9,21.71,0.16,PS1,1.3100000000000023,29.700000000004366
51,51,PS1-10ah,z,55298.4,43.7,22.15,0.23,PS1,1.75,47.80000000000291
52,52,PS1-10ah,z,55304.3,49.2,22.28,0.22,PS1,1.8800000000000026,53.700000000004366
53,53,PS1-10ah,z,55334.3,77.2,22.91,,PS1,2.5100000000000016,83.70000000000437
54,54,PS1-10ah,z,55352.3,93.9,22.88,,PS1,2.4800000000000004,101.70000000000437
