,Unnamed: 0,SN,band,jd,absmag,mag,error,survey,normmag,trel
0,413,PS1-13aea,g,56371.5,,23.5,,PS1,2.0599999999999987,-16.0
1,414,PS1-13aea,g,56384.5,,23.09,,PS1,1.6499999999999986,-3.0
2,415,PS1-13aea,g,56387.5,,21.44,0.08,PS1,0.0,0.0
3,416,PS1-13aea,g,56390.4,,22.33,0.19,PS1,0.889999999999997,2.900000000001455
4,417,PS1-13aea,g,56398.5,,23.09,,PS1,1.6499999999999986,11.0
5,418,PS1-13aea,g,56401.3,,23.54,,PS1,2.099999999999998,13.80000000000291
6,419,PS1-13aea,g,56416.4,,23.39,,PS1,1.9499999999999993,28.900000000001455
7,420,PS1-13aea,g,56421.3,,24.09,,PS1,2.6499999999999986,33.80000000000291
8,421,PS1-13aea,g,56427.3,,23.62,,PS1,2.1799999999999997,39.80000000000291
9,422,PS1-13aea,r,56371.5,,23.6,,PS1,2.370000000000001,-16.0
10,423,PS1-13aea,r,56384.5,,23.28,,PS1,2.0500000000000007,-3.0
11,424,PS1-13aea,r,56387.5,,21.23,0.07,PS1,0.0,0.0
12,425,PS1-13aea,r,56390.4,,22.03,0.2,PS1,0.8000000000000007,2.900000000001455
13,426,PS1-13aea,r,56398.5,,22.39,0.15,PS1,1.1600000000000001,11.0
14,427,PS1-13aea,r,56401.3,,22.64,0.13,PS1,1.4100000000000001,13.80000000000291
15,428,PS1-13aea,r,56416.4,,23.23,0.26,PS1,2.0,28.900000000001455
16,429,PS1-13aea,r,56420.4,,23.72,0.34,PS1,2.4899999999999984,32.900000000001455
17,430,PS1-13aea,r,56427.3,,23.64,,PS1,2.41,39.80000000000291
18,431,PS1-13aea,r,56430.4,,23.5,,PS1,2.2699999999999996,42.900000000001455
19,432,PS1-13aea,i,56369.4,,23.49,,PS1,1.9899999999999984,-19.099999999998545
20,433,PS1-13aea,i,56385.5,,21.51,0.05,PS1,0.010000000000001563,-3.0
21,434,PS1-13aea,i,56388.5,,21.5,0.06,PS1,0.0,0.0
22,435,PS1-13aea,i,56391.4,,22.29,0.08,PS1,0.7899999999999991,2.900000000001455
23,436,PS1-13aea,i,56393.3,,22.85,0.14,PS1,1.3500000000000014,4.80000000000291
24,437,PS1-13aea,i,56396.5,,23.11,,PS1,1.6099999999999994,8.0
25,438,PS1-13aea,i,56399.4,,23.76,0.32,PS1,2.2600000000000016,10.900000000001455
26,439,PS1-13aea,i,56403.4,,23.5,,PS1,2.0,14.900000000001455
27,440,PS1-13aea,i,56414.4,,23.54,0.34,PS1,2.039999999999999,25.900000000001455
28,441,PS1-13aea,i,56417.4,,23.91,,PS1,2.41,28.900000000001455
29,442,PS1-13aea,i,56420.4,,24.35,,PS1,2.8500000000000014,31.900000000001455
30,443,PS1-13aea,i,56422.3,,24.19,,PS1,2.6900000000000013,33.80000000000291
31,444,PS1-13aea,z,56370.4,,23.81,,PS1,2.7300000000000004,-19.099999999998545
32,445,PS1-13aea,z,56383.5,,23.2,,PS1,2.120000000000001,-6.0
33,446,PS1-13aea,z,56386.3,,21.34,0.07,PS1,0.26000000000000156,-3.1999999999970896
34,447,PS1-13aea,z,56389.5,,21.08,0.06,PS1,0.0,0.0
35,448,PS1-13aea,z,56392.3,,22.05,0.13,PS1,0.9700000000000024,2.8000000000029104
36,449,PS1-13aea,z,56397.4,,22.79,0.29,PS1,1.7100000000000009,7.900000000001455
37,450,PS1-13aea,z,56400.4,,22.45,,PS1,1.370000000000001,10.900000000001455
38,451,PS1-13aea,z,56402.3,,23.07,,PS1,1.990000000000002,12.80000000000291
39,452,PS1-13aea,z,56404.3,,23.15,,PS1,2.0700000000000003,14.80000000000291
40,453,PS1-13aea,z,56410.4,,23.11,,PS1,2.030000000000001,20.900000000001455
41,454,PS1-13aea,z,56412.4,,23.19,,PS1,2.110000000000003,22.900000000001455
42,455,PS1-13aea,z,56415.4,,23.25,,PS1,2.1700000000000017,25.900000000001455
43,456,PS1-13aea,z,56421.4,,23.71,,PS1,2.6300000000000026,31.900000000001455
