,Unnamed: 0,SN,absmag,band,error,jd,mag,survey,normmag,trel
0,0,PTF09uj.json,,R,0.1,54984.3,20.5,,20.5,54984.3
1,1,PTF09uj.json,,NUV,0.1,55002.36,21.7,,21.7,55002.36
2,2,PTF09uj.json,,NUV,0.04,55004.35,19.32,,19.32,55004.35
3,3,PTF09uj.json,,R,0.13,55005.3,19.22,,19.22,55005.3
4,4,PTF09uj.json,,NUV,0.02,55007.98,17.8,,17.8,55007.98
5,5,PTF09uj.json,,g,0.07,55008.31,18.17,,0.0,0.0
6,6,PTF09uj.json,,i,0.05,55008.31,18.42,,0.0,0.0
7,7,PTF09uj.json,,r,0.04,55008.31,18.31,,0.0,0.0
8,8,PTF09uj.json,,r,0.3,55010.27,18.4,,0.08999999999999986,1.9599999999991269
9,9,PTF09uj.json,,g,0.07,55012.38,18.69,,0.5199999999999996,4.069999999999709
10,10,PTF09uj.json,,i,0.11,55012.38,18.7,,0.2799999999999976,4.069999999999709
11,11,PTF09uj.json,,r,0.05,55012.38,18.71,,0.40000000000000213,4.069999999999709
12,12,PTF09uj.json,,R,0.2,55015.22,19.27,,19.27,55015.22
13,13,PTF09uj.json,,R,0.25,55019.2,19.72,,19.72,55019.2
14,14,PTF09uj.json,,R,0.24,55022.21,20.08,,20.08,55022.21
15,15,PTF09uj.json,,R,0.32,55024.24,20.21,,20.21,55024.24
16,16,PTF09uj.json,,R,0.42,55026.23,20.37,,20.37,55026.23
17,17,PTF09uj.json,,R,0.31,55028.26,20.66,,20.66,55028.26
18,18,PTF09uj.json,,R,0.74,55031.21,20.89,,20.89,55031.21
19,19,PTF09uj.json,,R,0.3,55034.2,21.06,,21.06,55034.2
