SN,absmag,band,error,jd,mag,normmag,survey,trel
PS1-13ess,-24.1,g,,56619.4,23.89,1.870000000000001,PS1,-30.0
PS1-13ess,-19.1,g,,56625.6,23.87,1.8500000000000012,PS1,-23.80000000000291
PS1-13ess,-16.1,g,,56629.3,23.6,1.5800000000000018,PS1,-20.09999999999855
PS1-13ess,-13.1,g,,56633.0,22.72,0.6999999999999993,PS1,-16.400000000001455
PS1-13ess,0.0,g,0.12,56649.4,22.02,0.0,PS1,0.0
PS1-13ess,3.0,g,0.1,56653.1,22.4,0.37999999999999895,PS1,3.6999999999970896
PS1-13ess,6.0,g,0.22,56656.8,23.04,1.0199999999999996,PS1,7.400000000001455
PS1-13ess,14.0,g,,56666.8,22.98,0.9600000000000009,PS1,17.400000000001455
PS1-13ess,-20.8,r,,56623.5,23.68,1.4299999999999995,PS1,-25.900000000001448
PS1-13ess,-18.6,r,,56626.2,23.97,1.7199999999999989,PS1,-23.200000000004373
PS1-13ess,-17.8,r,,56627.2,22.82,0.5700000000000003,PS1,-22.20000000000437
PS1-13ess,-14.7,r,,56631.0,24.05,1.8000000000000007,PS1,-18.40000000000145
PS1-13ess,-12.4,r,,56633.9,23.77,1.5199999999999996,PS1,-15.5
PS1-13ess,-10.1,r,,56636.8,23.1,0.8500000000000014,PS1,-12.599999999998545
PS1-13ess,0.0,r,0.17,56649.4,22.25,0.0,PS1,0.0
PS1-13ess,4.6,r,0.19,56655.1,22.68,0.4299999999999997,PS1,5.6999999999970905
PS1-13ess,5.4,r,0.16,56656.1,22.97,0.7199999999999989,PS1,6.6999999999970905
PS1-13ess,10.8,r,0.35,56662.8,23.23,0.9800000000000004,PS1,13.400000000001455
PS1-13ess,11.6,r,0.15,56664.0,23.07,0.8200000000000003,IMACS,14.599999999998545
PS1-13ess,-20.1,i,,56624.3,24.04,1.3200000000000005,PS1,-51.89999999999418
PS1-13ess,-17.8,i,,56627.2,23.65,0.9299999999999996,PS1,-49.0
PS1-13ess,-14.0,i,,56632.0,23.99,1.2699999999999996,PS1,-44.19999999999709
PS1-13ess,5.4,i,0.12,56656.1,22.96,0.24000000000000196,PS1,-20.09999999999855
PS1-13ess,9.2,i,,56660.8,23.68,0.9600000000000009,PS1,-15.399999999994181
PS1-13ess,21.6,i,0.13,56676.2,22.72,0.0,PS1,0.0
PS1-13ess,-21.6,z,,56622.5,23.51,1.150000000000002,PS1,-25.900000000001448
PS1-13ess,-19.4,z,,56625.2,23.28,0.9200000000000016,PS1,-23.200000000004373
PS1-13ess,-15.5,z,,56630.1,23.29,0.9299999999999996,PS1,-18.30000000000291
PS1-13ess,-13.2,z,,56632.9,23.39,1.0300000000000011,PS1,-15.5
PS1-13ess,-4.7,z,,56643.5,23.03,0.6700000000000017,PS1,-4.900000000001455
PS1-13ess,-0.8,z,0.19,56648.4,22.36,0.0,PS1,0.0
PS1-13ess,1.5,z,0.29,56651.3,22.67,0.3100000000000023,PS1,2.9000000000014547
PS1-13ess,10.0,z,0.27,56661.8,23.13,0.7699999999999996,PS1,13.400000000001455
PS1-13cgt,,g,,56475.4,24.05,2.2300000000000004,PS1,-13.900000000001455
PS1-13cgt,,g,,56478.3,24.27,2.4499999999999997,PS1,-11.0
PS1-13cgt,,g,,56480.4,24.2,2.379999999999999,PS1,-8.900000000001455
PS1-13cgt,,g,0.05,56486.3,21.85,0.030000000000001137,PS1,-3.0
PS1-13cgt,,g,0.07,56489.3,21.82,0.0,PS1,0.0
PS1-13cgt,,g,0.21,56501.4,23.06,1.2399999999999984,PS1,12.099999999998545
PS1-13cgt,,g,,56507.3,24.15,2.3299999999999983,PS1,18.0
PS1-13cgt,,g,,56512.3,23.92,2.1000000000000014,PS1,23.0
PS1-13cgt,,i,,56473.4,24.05,2.0500000000000007,PS1,-13.900000000001455
PS1-13cgt,,i,,56476.4,24.03,2.0300000000000007,PS1,-10.900000000001457
PS1-13cgt,,i,,56479.3,24.44,2.4400000000000013,PS1,-8.0
PS1-13cgt,,i,,56481.3,23.46,1.4600000000000009,PS1,-6.0
PS1-13cgt,,i,0.05,56487.3,22.0,0.0,PS1,0.0
PS1-13cgt,,i,0.06,56491.3,22.13,0.129999999999999,PS1,4.0
