# phase      R^obs_U      R^obs_B      R^obs_V      R^obs_R      R^obs_I
  -20.0     4.867854     4.267058     3.267058     2.686301     2.055418
  -19.0     4.867854     4.267058     3.267058     2.686301     2.055418
  -18.0     4.868275     4.268298     3.268298     2.687489     2.058233
  -17.0     4.868586     4.269216     3.269216     2.688368     2.060317
  -16.0     4.868380     4.268609     3.268609     2.687787     2.058940
  -15.0     4.859973     4.262226     3.262226     2.680922     2.049247
  -14.0     4.860485     4.257851     3.257852     2.676541     2.035324
  -13.0     4.867001     4.253613     3.253613     2.673123     2.017782
  -12.0     4.878433     4.246064     3.246064     2.667714     1.996289
  -11.0     4.884905     4.241003     3.241003     2.665153     1.976014
  -10.0     4.892495     4.229878     3.229878     2.658639     1.954344
   -9.0     4.899129     4.216976     3.216976     2.650968     1.935656
   -8.0     4.913791     4.210426     3.210426     2.649416     1.928576
   -7.0     4.926371     4.206043     3.206044     2.648054     1.925190
   -6.0     4.920074     4.193482     3.193482     2.639224     1.917312
   -5.0     4.913702     4.187269     3.187269     2.634727     1.911471
   -4.0     4.910782     4.187698     3.187698     2.639022     1.908119
   -3.0     4.903921     4.189529     3.189529     2.646136     1.905293
   -2.0     4.893469     4.191051     3.191051     2.653924     1.902197
   -1.0     4.876644     4.195598     3.195598     2.664990     1.901576
    0.0     4.854167     4.187199     3.187200     2.664925     1.894872
    1.0     4.843831     4.187234     3.187234     2.669732     1.892488
    2.0     4.845372     4.190492     3.190492     2.676442     1.894457
    3.0     4.864299     4.208335     3.208335     2.692494     1.903796
    4.0     4.889416     4.231174     3.231174     2.711574     1.914460
    5.0     4.938617     4.273395     3.273395     2.744757     1.931083
    6.0     4.959108     4.289219     3.289219     2.760914     1.938453
    7.0     4.986046     4.311665     3.311665     2.776381     1.945803
    8.0     5.037428     4.357211     3.357211     2.807153     1.954683
    9.0     5.049207     4.367868     3.367868     2.816343     1.960196
   10.0     5.058644     4.375997     3.375997     2.823305     1.972282
   11.0     5.065484     4.380357     3.380357     2.824812     1.979610
   12.0     5.094397     4.400448     3.400449     2.839321     1.998048
   13.0     5.128796     4.425459     3.425459     2.857184     2.019965
   14.0     5.150117     4.437727     3.437727     2.865758     2.038451
   15.0     5.159183     4.438020     3.438020     2.865089     2.049332
   16.0     5.133852     4.406314     3.406314     2.839467     2.043964
   17.0     5.162451     4.416503     3.416503     2.842025     2.051417
   18.0     5.181463     4.422862     3.422862     2.845054     2.048908
   19.0     5.165757     4.403703     3.403703     2.834022     2.043913
   20.0     5.170460     4.404347     3.404347     2.837798     2.046233
   21.0     5.168315     4.401482     3.401482     2.836961     2.040123
   22.0     5.177864     4.407887     3.407887     2.843131     2.041675
   23.0     5.161125     4.392059     3.392059     2.829851     2.033162
   24.0     5.130804     4.364022     3.364022     2.806669     2.023071
   25.0     5.097136     4.332710     3.332710     2.778615     2.010527
   26.0     5.067584     4.303619     3.303619     2.750439     1.997359
   27.0     5.083471     4.306130     3.306130     2.748099     2.000900
   28.0     5.064146     4.284733     3.284733     2.729870     1.991513
   29.0     5.054285     4.275309     3.275309     2.721811     1.986535
   30.0     5.043151     4.267159     3.267159     2.713509     1.983449
   31.0     5.048809     4.266904     3.266904     2.714835     1.985901
   32.0     5.055410     4.265270     3.265270     2.717232     1.989317
   33.0     5.058684     4.263834     3.263834     2.720958     1.992383
   34.0     5.043148     4.256670     3.256670     2.719745     1.990407
   35.0     5.016960     4.247354     3.247354     2.715895     1.984762
   36.0     4.989050     4.240483     3.240484     2.713573     1.979151
   37.0     4.967585     4.240286     3.240286     2.716055     1.976360
   38.0     4.935272     4.230922     3.230922     2.712229     1.970778
   39.0     4.911867     4.226132     3.226132     2.710104     1.968532
   40.0     4.907853     4.232355     3.232355     2.715257     1.973777
   41.0     4.940115     4.256514     3.256514     2.735504     1.989022
   42.0     4.981068     4.283794     3.283794     2.756276     2.005921
   43.0     5.011287     4.300930     3.300930     2.767069     2.017645
   44.0     5.021885     4.305686     3.305686     2.765986     2.021923
   45.0     5.025593     4.304784     3.304784     2.759315     2.022449
   46.0     5.032494     4.307862     3.307862     2.753865     2.023679
   47.0     5.037089     4.309112     3.309112     2.747273     2.023029
   48.0     5.038591     4.308869     3.308869     2.741097     2.021320
   49.0     5.028196     4.302125     3.302125     2.732354     2.016017
   50.0     5.032175     4.308370     3.308370     2.737029     2.019337
   51.0     5.035140     4.314108     3.314108     2.743441     2.022987
   52.0     5.033271     4.315065     3.315065     2.748823     2.025462
   53.0     5.024546     4.308503     3.308503     2.749967     2.025462
   54.0     5.019099     4.303049     3.303049     2.753266     2.026258
   55.0     5.021525     4.302794     3.302794     2.759531     2.029575
   56.0     5.036056     4.312134     3.312134     2.769840     2.038251
   57.0     5.052981     4.321739     3.321739     2.777479     2.046406
   58.0     5.072850     4.332974     3.332974     2.781737     2.052951
   59.0     5.088512     4.342147     3.342147     2.780659     2.056175
   60.0     5.116293     4.361083     3.361083     2.785276     2.063993
   61.0     5.134365     4.372898     3.372898     2.786133     2.067320
   62.0     5.148483     4.382536     3.382536     2.786570     2.069022
   63.0     5.157597     4.389480     3.389481     2.787018     2.069104
   64.0     5.162716     4.394221     3.394221     2.788913     2.068362
   65.0     5.164451     4.397398     3.397398     2.791509     2.068176
   66.0     5.163958     4.399845     3.399845     2.794762     2.069893
   67.0     5.164466     4.402789     3.402789     2.798909     2.072319
   68.0     5.168980     4.407591     3.407591     2.803877     2.075171
   69.0     5.175104     4.413171     3.413171     2.809723     2.078670
   70.0     5.182557     4.419395     3.419395     2.816295     2.082706
   71.0     5.186516     4.422604     3.422604     2.820626     2.084876
   72.0     5.196129     4.430437     3.430437     2.828135     2.089439
   73.0     5.209311     4.441246     3.441246     2.838015     2.096008
   74.0     5.225519     4.454180     3.454180     2.850203     2.104682
   75.0     5.243532     4.468124     3.468124     2.864176     2.115164
   76.0     5.262132     4.482029     3.482029     2.879318     2.127032
   77.0     5.280109     4.494907     3.494907     2.894924     2.139735
   78.0     5.297286     4.506078     3.506078     2.911329     2.153367
   79.0     5.311173     4.514377     3.514377     2.926231     2.166170
   80.0     5.319572     4.518771     3.518771     2.937544     2.176468
   81.0     5.320573     4.518356     3.518356     2.943407     2.182672
   82.0     5.323559     4.521043     3.521043     2.949038     2.188869
   83.0     5.324015     4.523132     3.523132     2.951890     2.193189
   84.0     5.321242     4.524610     3.524610     2.951968     2.195617
   85.0     5.316714     4.525632     3.525632     2.949922     2.196608
   86.0     5.311960     4.526408     3.526408     2.946673     2.196801
   87.0     5.308562     4.527206     3.527206     2.943420     2.197016
   88.0     5.308638     4.528475     3.528475     2.941575     2.198434
   89.0     5.310678     4.529824     3.529824     2.940105     2.200090
   90.0     5.314103     4.531127     3.531127     2.939050     2.201800
   91.0     5.318232     4.532280     3.532280     2.938390     2.203397
   92.0     5.322282     4.533201     3.533201     2.938052     2.204729
   93.0     5.325368     4.533829     3.533829     2.937903     2.205662
   94.0     5.326508     4.534125     3.534125     2.937754     2.206078
   95.0     5.326734     4.534183     3.534183     2.937725     2.206161
   96.0     5.326378     4.534091     3.534091     2.937771     2.206031
   97.0     5.325902     4.533967     3.533967     2.937833     2.205857
   98.0     5.325902     4.533967     3.533967     2.937833     2.205857
   99.0     5.325902     4.533967     3.533967     2.937833     2.205857
  100.0     5.325902     4.533967     3.533967     2.937833     2.205857
