# phase        M^0_B            P_B            Q_B
  -10.0     -18.484267       1.099137       0.363533
   -9.0     -18.746668       0.996692       0.436924
   -8.0     -18.962889       0.891763       0.509320
   -7.0     -19.134493       0.816611       0.552729
   -6.0     -19.264782       0.778080       0.558995
   -5.0     -19.371511       0.744175       0.559273
   -4.0     -19.452340       0.717456       0.555022
   -3.0     -19.513151       0.693572       0.553452
   -2.0     -19.549628       0.688488       0.539749
   -1.0     -19.568085       0.699033       0.512595
    0.0     -19.570837       0.706314       0.490144
    1.0     -19.564504       0.693926       0.496579
    2.0     -19.543987       0.681318       0.523416
    3.0     -19.510368       0.687320       0.555866
    4.0     -19.462209       0.722422       0.577769
    5.0     -19.404581       0.775511       0.589765
    6.0     -19.338533       0.835930       0.597069
    7.0     -19.266918       0.895861       0.604038
    8.0     -19.186776       0.945699       0.617275
    9.0     -19.096961       0.990438       0.630502
   10.0     -18.994035       1.061819       0.608667
   11.0     -18.888356       1.153389       0.555170
   12.0     -18.789299       1.240543       0.493853
   13.0     -18.697221       1.300986       0.448423
   14.0     -18.604203       1.337692       0.421821
   15.0     -18.500834       1.377160       0.391930
   16.0     -18.384654       1.427972       0.350123
   17.0     -18.260000       1.488656       0.297870
   18.0     -18.128373       1.564683       0.227924
   19.0     -17.997388       1.644127       0.149619
   20.0     -17.871081       1.724777       0.062222
   21.0     -17.753350       1.790642      -0.021247
   22.0     -17.644764       1.826298      -0.086588
   23.0     -17.541102       1.829885      -0.127545
   24.0     -17.439297       1.820484      -0.154439
   25.0     -17.339406       1.821364      -0.182890
   26.0     -17.247445       1.836592      -0.215784
   27.0     -17.166241       1.854594      -0.245614
   28.0     -17.095568       1.863543      -0.267085
   29.0     -17.030393       1.859564      -0.280981
   30.0     -16.969686       1.842228      -0.287090
   31.0     -16.912279       1.820920      -0.290686
   32.0     -16.860689       1.801974      -0.294878
   33.0     -16.816046       1.783373      -0.297416
   34.0     -16.779406       1.758296      -0.293230
   35.0     -16.747254       1.721648      -0.278632
   36.0     -16.717926       1.668591      -0.247150
   37.0     -16.686053       1.611597      -0.208555
   38.0     -16.648818       1.562167      -0.174208
   39.0     -16.605789       1.531257      -0.158566
   40.0     -16.560824       1.516665      -0.164049
   41.0     -16.520047       1.504606      -0.176624
   42.0     -16.486692       1.490054      -0.185901
   43.0     -16.460134       1.477265      -0.189888
   44.0     -16.438736       1.475530      -0.194666
   45.0     -16.420644       1.489490      -0.205260
   46.0     -16.405823       1.515082      -0.222379
   47.0     -16.392192       1.542306      -0.241768
   48.0     -16.377970       1.565299      -0.261499
   49.0     -16.362184       1.579191      -0.275258
   50.0     -16.345567       1.584146      -0.278238
   51.0     -16.326564       1.585848      -0.273523
   52.0     -16.304820       1.585897      -0.265866
   53.0     -16.279545       1.581281      -0.258797
   54.0     -16.251333       1.567312      -0.253188
   55.0     -16.223047       1.535948      -0.239442
   56.0     -16.196499       1.492575      -0.216323
   57.0     -16.171303       1.447621      -0.188881
   58.0     -16.147962       1.407290      -0.161464
   59.0     -16.126103       1.375689      -0.138885
   60.0     -16.106562       1.354051      -0.123585
   61.0     -16.091561       1.334104      -0.104629
   62.0     -16.080798       1.315050      -0.077681
   63.0     -16.069949       1.304262      -0.051069
   64.0     -16.056022       1.306499      -0.036667
   65.0     -16.038911       1.315601      -0.036051
   66.0     -16.021519       1.324822      -0.045646
   67.0     -16.008530       1.322741      -0.049835
   68.0     -16.001720       1.309472      -0.041521
   69.0     -15.998233       1.294935      -0.027038
   70.0     -15.996048       1.284447      -0.012708
   71.0     -15.993616       1.276946       0.000449
   72.0     -15.989595       1.271844       0.011153
   73.0     -15.983344       1.266794       0.021059
   74.0     -15.974281       1.262473       0.030274
   75.0     -15.962152       1.260226       0.038458
   76.0     -15.946930       1.263678       0.040694
   77.0     -15.929110       1.271170       0.035956
   78.0     -15.910036       1.279229       0.026180
   79.0     -15.891901       1.281450       0.019943
   80.0     -15.875487       1.278495       0.020857
   81.0     -15.860033       1.274405       0.027545
   82.0     -15.844630       1.272155       0.035723
   83.0     -15.828234       1.269629       0.043922
   84.0     -15.810156       1.264861       0.050655
   85.0     -15.790844       1.253574       0.059012
   86.0     -15.770796       1.235104       0.071029
   87.0     -15.749729       1.214617       0.083746
   88.0     -15.728727       1.196998       0.094500
   89.0     -15.709070       1.185188       0.101699
   90.0     -15.691710       1.181056       0.104425
