# phase        M^0_I            P_I            Q_I
  -10.0     -18.228706       1.055613       0.139833
   -9.0     -18.526919       0.977588       0.187784
   -8.0     -18.783171       0.867112       0.254044
   -7.0     -18.991200       0.732755       0.338232
   -6.0     -19.136463       0.631074       0.390278
   -5.0     -19.230216       0.558090       0.416614
   -4.0     -19.278966       0.517498       0.414695
   -3.0     -19.292642       0.502354       0.393845
   -2.0     -19.278748       0.527287       0.339339
   -1.0     -19.248013       0.594166       0.244584
    0.0     -19.213299       0.675855       0.125890
    1.0     -19.181265       0.723265       0.032090
    2.0     -19.152637       0.752136      -0.039136
    3.0     -19.118199       0.797851      -0.113647
    4.0     -19.089191       0.832221      -0.159222
    5.0     -19.054712       0.873833      -0.196999
    6.0     -19.012823       0.913514      -0.225991
    7.0     -18.960769       0.955213      -0.257682
    8.0     -18.900897       0.995252      -0.294902
    9.0     -18.838001       1.014032      -0.324447
   10.0     -18.774323       0.993488      -0.329067
   11.0     -18.710456       0.959128      -0.326807
   12.0     -18.650631       0.944609      -0.347414
   13.0     -18.611404       0.913285      -0.350501
   14.0     -18.600638       0.848006      -0.305291
   15.0     -18.607465       0.786237      -0.237459
   16.0     -18.627044       0.738324      -0.157270
   17.0     -18.653266       0.711936      -0.080343
   18.0     -18.679679       0.709765      -0.020807
   19.0     -18.705476       0.713660       0.031667
   20.0     -18.729154       0.718792       0.083359
   21.0     -18.747607       0.743650       0.120036
   22.0     -18.762621       0.792094       0.138546
   23.0     -18.777075       0.853885       0.147348
   24.0     -18.790353       0.920676       0.152761
   25.0     -18.798709       0.992359       0.150935
   26.0     -18.799318       1.063748       0.142133
   27.0     -18.790161       1.128886       0.128267
   28.0     -18.770006       1.179578       0.115706
   29.0     -18.738293       1.213326       0.107729
   30.0     -18.691926       1.240275       0.093466
   31.0     -18.631994       1.261618       0.070568
   32.0     -18.562591       1.278310       0.040905
   33.0     -18.488136       1.294208       0.008727
   34.0     -18.413586       1.314430      -0.021496
   35.0     -18.341152       1.345527      -0.049220
   36.0     -18.269042       1.394898      -0.081923
   37.0     -18.194940       1.457919      -0.122021
   38.0     -18.119282       1.522199      -0.163309
   39.0     -18.041930       1.587941      -0.207619
   40.0     -17.965014       1.656672      -0.256570
   41.0     -17.891913       1.720543      -0.304027
   42.0     -17.823362       1.773910      -0.349448
   43.0     -17.759238       1.809685      -0.389590
   44.0     -17.701123       1.821911      -0.416161
   45.0     -17.648884       1.815402      -0.426073
   46.0     -17.601595       1.802882      -0.425648
   47.0     -17.557311       1.792754      -0.422949
   48.0     -17.514066       1.791548      -0.430275
   49.0     -17.471376       1.794979      -0.449958
   50.0     -17.430967       1.787555      -0.468583
   51.0     -17.392206       1.761491      -0.473043
   52.0     -17.352408       1.735305      -0.472999
   53.0     -17.309956       1.729428      -0.485652
   54.0     -17.269082       1.728531      -0.497374
   55.0     -17.230234       1.720171      -0.496576
   56.0     -17.188321       1.709583      -0.488590
   57.0     -17.143650       1.700774      -0.474883
   58.0     -17.096593       1.712257      -0.475582
   59.0     -17.050961       1.730931      -0.486019
   60.0     -17.012550       1.731268      -0.485593
   61.0     -16.977032       1.721628      -0.483718
   62.0     -16.945340       1.699276      -0.476538
   63.0     -16.918321       1.663503      -0.457335
   64.0     -16.894151       1.624948      -0.431251
   65.0     -16.870053       1.588989      -0.402952
   66.0     -16.844470       1.552006      -0.369253
   67.0     -16.813380       1.525255      -0.343159
   68.0     -16.775894       1.511861      -0.330160
   69.0     -16.735236       1.504364      -0.324074
   70.0     -16.692323       1.500013      -0.322121
   71.0     -16.647887       1.499470      -0.325020
   72.0     -16.603231       1.499483      -0.330175
   73.0     -16.559293       1.496710      -0.334562
   74.0     -16.516624       1.489201      -0.335745
   75.0     -16.475080       1.476283      -0.332652
   76.0     -16.434095       1.457831      -0.324780
   77.0     -16.392771       1.436910      -0.314989
   78.0     -16.350727       1.415096      -0.304717
   79.0     -16.308384       1.390024      -0.291247
   80.0     -16.266432       1.359899      -0.270666
   81.0     -16.224289       1.335881      -0.252127
   82.0     -16.182189       1.321141      -0.240063
   83.0     -16.142974       1.304369      -0.225368
   84.0     -16.104247       1.285585      -0.209214
   85.0     -16.064718       1.264567      -0.190780
   86.0     -16.023447       1.246363      -0.172912
   87.0     -15.980063       1.237472      -0.161153
   88.0     -15.936006       1.237130      -0.155413
   89.0     -15.892440       1.243994      -0.155993
   90.0     -15.850707       1.255683      -0.161570
