# phase        M^0_U            P_U            Q_U
  -10.0     -19.103046       1.576503       0.238785
   -9.0     -19.371417       1.437496       0.349181
   -8.0     -19.586258       1.287011       0.472556
   -7.0     -19.748184       1.164051       0.574473
   -6.0     -19.859151       1.076161       0.645927
   -5.0     -19.939519       0.998425       0.711160
   -4.0     -19.988738       0.958169       0.743765
   -3.0     -20.022602       0.939826       0.756327
   -2.0     -20.044337       0.918013       0.772503
   -1.0     -20.056139       0.871366       0.818641
    0.0     -20.045152       0.834078       0.868846
    1.0     -20.012134       0.827327       0.902365
    2.0     -19.958677       0.843438       0.918748
    3.0     -19.892248       0.856191       0.940421
    4.0     -19.808627       0.892554       0.940197
    5.0     -19.713527       0.956486       0.911125
    6.0     -19.614276       1.028585       0.868512
    7.0     -19.513755       1.085853       0.833264
    8.0     -19.407036       1.130861       0.807013
    9.0     -19.290187       1.183095       0.776642
   10.0     -19.162902       1.254731       0.731640
   11.0     -19.028944       1.345085       0.668804
   12.0     -18.890274       1.447484       0.590287
   13.0     -18.750571       1.551417       0.501278
   14.0     -18.608910       1.651400       0.402384
   15.0     -18.466789       1.737873       0.301235
   16.0     -18.322467       1.810319       0.196751
   17.0     -18.177147       1.860611       0.098543
   18.0     -18.028988       1.896881       0.002898
   19.0     -17.882988       1.915928      -0.073592
   20.0     -17.742544       1.935957      -0.132380
   21.0     -17.609072       1.966219      -0.177188
   22.0     -17.482663       2.000425      -0.215215
   23.0     -17.360829       2.012652      -0.239645
   24.0     -17.242851       1.989858      -0.252007
   25.0     -17.130176       1.919161      -0.237935
   26.0     -17.027637       1.812644      -0.197127
   27.0     -16.932649       1.698080      -0.149362
   28.0     -16.850201       1.581527      -0.096717
   29.0     -16.780715       1.475102      -0.045606
   30.0     -16.729745       1.382594       0.007010
   31.0     -16.697977       1.300310       0.075254
   32.0     -16.680765       1.239157       0.151419
   33.0     -16.663188       1.218608       0.203652
   34.0     -16.639422       1.228971       0.218904
   35.0     -16.607258       1.247356       0.202759
   36.0     -16.572229       1.250694       0.176609
   37.0     -16.541414       1.217593       0.178949
   38.0     -16.515636       1.162582       0.215484
   39.0     -16.489445       1.114286       0.265739
   40.0     -16.462020       1.085272       0.310651
   41.0     -16.433323       1.071845       0.342248
   42.0     -16.405273       1.065305       0.361901
   43.0     -16.379306       1.058731       0.375406
   44.0     -16.356453       1.050315       0.387668
   45.0     -16.335606       1.043374       0.398996
   46.0     -16.314714       1.040787       0.408915
   47.0     -16.291173       1.044271       0.415530
   48.0     -16.263865       1.048106       0.426286
   49.0     -16.232275       1.058753       0.436858
   50.0     -16.196054       1.087279       0.433445
   51.0     -16.157285       1.135650       0.405883
   52.0     -16.120656       1.187964       0.361534
   53.0     -16.089442       1.222451       0.319575
   54.0     -16.064129       1.228376       0.298018
   55.0     -16.041540       1.218453       0.295239
   56.0     -16.020042       1.202920       0.308506
   57.0     -15.996792       1.197221       0.322287
   58.0     -15.971327       1.204962       0.327078
   59.0     -15.945473       1.219560       0.323144
   60.0     -15.920220       1.234710       0.313138
   61.0     -15.896437       1.247132       0.300667
   62.0     -15.874388       1.256595       0.286876
   63.0     -15.854061       1.261073       0.272602
   64.0     -15.836572       1.252608       0.268187
   65.0     -15.821029       1.234485       0.276462
   66.0     -15.805473       1.215034       0.294724
   67.0     -15.788188       1.207459       0.309117
   68.0     -15.768412       1.213371       0.311613
   69.0     -15.747540       1.224321       0.304545
   70.0     -15.727707       1.229691       0.297995
   71.0     -15.709040       1.229419       0.295420
   72.0     -15.690942       1.225980       0.297821
   73.0     -15.672696       1.225483       0.298723
   74.0     -15.654121       1.226318       0.298008
   75.0     -15.635766       1.226306       0.298020
   76.0     -15.617430       1.226411       0.297929
   77.0     -15.599135       1.226466       0.297881
   78.0     -15.580866       1.226516       0.297838
   79.0     -15.562618       1.226553       0.297805
   80.0     -15.544388       1.226583       0.297780
   81.0     -15.526170       1.226605       0.297761
   82.0     -15.507962       1.226622       0.297746
   83.0     -15.489761       1.226636       0.297734
   84.0     -15.471566       1.226645       0.297726
   85.0     -15.453376       1.226651       0.297720
   86.0     -15.435189       1.226657       0.297716
   87.0     -15.417003       1.226661       0.297712
   88.0     -15.398820       1.226664       0.297710
   89.0     -15.380638       1.226666       0.297708
   90.0     -15.362457       1.226669       0.297706
